,ID_text
1047,eriko lim orang pinter asu semua duitin wkkwkwkwk ampe yg begini duit aku salut ama tau mana yg nama agama mana yg nama canda juga pikir kalau masalah agama liat cara ngomongnya kalau serius yg aku suka muka mirip kaya uju palkon aku asw ea never give up erick god bless
1048,eriko lim yg baik
1049,eriko vagina asu anjing cuiiihhh kotor kontol kamu kecil
1050,erikolim anjing jelas
1051,erick
1052,erick anjing
1053,erick ge kasi ama elu soo aku subscribe ajelahh melas mukany kea kaleng bekas
1054,erick sesal aku subkamudari perak
1055,erick kamu akhirat masuk mana kamu neraka surga goblok taubat allah swt ngelihat kamu amal kamu catat ama malaikat
1056,erick kamu anjing muka kaya anjing laku kamu udah terlalu erikilom baik
1057,erick ge kasi ama elu soo aku subscribe ajelahh melas mukany kea kaleng bekas
1058,erick mak luh ngidam apa sampe keluar toge luh bngst
1060,erick muka memeq bukan heter pen masuk tipi
1061,erick terjebud love you lah njink loo
1062,erick
1063,erikontolim is back
1064,erikontolim lol fakkkk
1065,erikontolim mau antem ngak ma aku
1066,erikontolimemek erick goblok kontol dimasukin vagina anjing
1067,erikontoll channel bangsat tidak berpaedah aneh aku suka sama kontenkamudan aku fans samakamusemoga subsc tambah banyak bos
1068,erikontollll anjing
1069,f for erckontol wkwkwkwk
1070,fans tunda aku pernah fans kamu anjing
1071,farhan leonardo jefri junaidi daniel halim game mmorpg mas oktovan dede gaming mr zenno bagi cerita nongol sini kalian anjing
1072,farhan leonardo kontoll anjingg vagina pantek enttot ibuk kau
1073,fcking benci just do what you like to do rick let benci be money jujur suka konten kamu yg faedah thats fucking entertain me for real
1074,fiko anjing kau fikontol
1075,fix ericko lim kontol
1076,fuck kontol
1077,fuck up benci tolol
1078,fuucking beaches erick fuck you beches bodoh indog mua kontol malu indogggggg
1079,g niru bego semua yutuber dunia buat gin tolol
1080,g sopan kamu ngeledek lewat comment yt kontol
1081,ubah anjng jaman kerja garena smpe jadi youtubers besar toxic masih ada mantul bet lahkamudemen sama cara berfikirkamuric salut wkwk soapking kontol lah wkwkkw
1082,ngaca tolol yg komentar saja sopan masa bilang lewat komentar ketemu langsung dong emang tolol benci inikakakakak
1083,peduli anjing
1084,ganteng ygkamukira wkwkwk yakali pikir diri sendiri jelek wkwkw pikir lah kalau orang yg ngatain baru dah yakali nilai diri sendiri jelek wkwkw
1085,jelas kontol
1086,gunakamuanjing kotor
1087,mempan sama hetres hhhhh kontoll kocak
1088,papa buly aku suka
1089,suka gausah nonton liat bokep ae kuy tod
1090,suka nonton goblok sampe dna
1091,suka usah tonton kalau mnurut kalian cahnel tidak mndidik tidak usah mampir anjing kentot benci sok bijak sok perpendikikan yg sampah tu kalian benci kentot d otakkamupake fuc
1092,suka tinggal usah nonton
1093,kenal ae aku udah jauh masyarakat anjing
1094,galucu kontol
1095,galva rat kamu dukung rusa moral bangsa anjing bangsat kontol suka nonton saya ngedukung si toxic bangsat wkwkw
1096,game buat gamers kaya eriko lim bacot buat erik gila anjingg soapperszbuat videotiap hari bang suka banget kalau kamu bilang yg jelek bang you is the best bangdiem like lebih banyak dislike vagina
1097,gans parah ol bagus
1098,tampan bangggg k benci yak gpp erick tetep buat konten kamu suka suka subscribe kamu salah satu erick
1099,tampan jidatkamuanjing nama guana nama erickontolim goblok conge an primitif anjing najis nonton videolu
1100,tampan kontol kentot
1101,tampan mana anjing
1102,tampan rikkk sumpah tetep dukung luu pres antimainstream eh nyata ekspresi persis video reza arap sedikit kecewa akspresilu mainstream bang baik bang semangat kontoll
1103,gantung orang klok aku si suka lucu
1104,gapapa bang kamu punya hak laku apa kamu suka p ama kamu kamu rasa kalau pernah ngerasain itu yg buat kamu ketawa sadar
1105,gapapa ric lebih banyak benci makin banyak uanglo biarin tu benci ngomel sampe mbusa tumulut yg pentingkamusuksesu ada keren keren
1106,gara arap hapus cheanel jadix erickontollim di bully yah elah
1107,gaskannnn kontol
1108,gasuka tonton yeeee goblok rickzieq
1109,gasuka gausa nontonnn se simplee nnjjeenk
1110,gasuka gausah nntn g wkwkwk
1111,gasuka gausah nonton
1112,gasuka gausah nonton wkwk simple
1113,gasuka tonton haha emang benar bang benci fans yg tunda
1114,gatau knp aku nonton mulu video kamu nonton video yg ohiya aku ken ngasih saran dong buat org yg tadi bilang upload didik yaudah kamu jangan nonton yutub puki nonton ruang guru goblok nonton acara mamah dedeh gausah nonton yutub bangsat pea ee qhambyngan
1115,gateng pers jateng toxic and unfaedah content buat ketawa lucu gokil unik and kadang garing saya suka gaya toxic kamu bang erick abai benci sampah yg bully and ngehina kamu support erickolim ampe juta subscribers brohhh
1116,gausah dengar kata bg aku liat komentar yg gasuka amkamuaja jijik bangets
1117,gausah tampan rikyng penting mh dompetena aku suka konten yg bego bego biar aku kaya kamu lanjut boss qitu
1118,gausah benci buat ngatain kamu kontol erick santuy
1119,gausah ngemis bangsat
1120,gausah tonton kontol
1121,gaya mli bangsat
1122,goblok ngemis like anak tolol sampe dna njing
1123,gblok balik duo sabum ma abi gblok kasihan miskin tololl kasihan temen karirkamudlu gblokkkk
1124,gd bang karya terus kontol aku suka gayakamunjeng
1125,gela suka intro tod eaaaaaatod
1126,gembel kontoll
1127,gendut goblok idiot tablo jelek lengket hidup
1128,gergaji kontol erico lim
1129,gg lah langsung kesini aku kampret
1130,gideon assah hahahaha iya emang tolol benci
1131,gila cuma chenel yg santai sama benci malah bangga in lha yg buat ngerap soal benci anjing
1132,gila emang yg koment negatip kamu kalau gasuka jangan koment buat dosa kamu konten cuma buat hibur lah pikir dlu boy
1133,gila kamu yg bangsat tpy sangat hibur wkwkwkwk tertawa nontonya lanjut truss erick biar dapetin voucher google plays nila ribu rupiah
1134,gila komentar toxic semua njir by the way tenang rickkamutamvan gila lol gin lahkamukalo suka usah tonton bangsatkamukomen ngehina orang sama dosa kontol
1135,gilakamurikkamuinspiration aku banget kontol
1136,gila menit niat bangat bangsat tulis cerpen ajg hahaha
1137,gin yaaaa kamu filter tonton kamu nyet semua org akses yutub bahkan anak kecil lama awas orang tua jam jd statement kamu soal gausah nonton kalau gasuka org dewasa dilakuin
1138,gin lah suka toxickamukembali
1139,gitu anjing wkwk chanel kontol majuterusrik
1140,give aplaus for benci broo bro wkwkwkwk mantap rick
1141,give skin bang kontol
1142,ada otak memang benci kalau suka jangan lihat anjing bang jangan hirau benci bang banyak botol bocah kontol moga cepat juta subscribe
1143,goblok anjing kontol
1144,goblok tolol heathers bajing
1145,good ap kontol
1146,good luck pokok erick it subscribe tetep semangat
1147,gpp bang manusia tentu tau mana harus contoh tidak balik ke nya jadi contoh hibur aku taukamuitu orang pintar orang dengan hidup depan kamera balik kamera
1148,gpp erick kamu bully buat aj konten yg lucu neng kalau kamu ngmong kotor soal lucu anjing kwkw stay positif erick
1149,gpp si erico tetep buat video biar masa depan nunjukin anak cucu akibat kalau orang suka makan jembut
1150,gpph goblok penting karya nah kamu anak haram ngatain orang karya kgk pikir tolol
1151,bangga bree ama kamu kamu teladan cuma kamu youtuber yg muka kaya daki kontol
1152,bilangin bang benci cuma numpang tenar kamu orang gitu karya coba liat channel saja video lowbudget semua kamera nokia orang kaya gitu usah anggap lah yakin kamu depan lebih baik salam
1153,bocah kontol kamu suruh dyland plos ngomong teh srisri and warpath
1154,bukan fans atau benci si kontol tapi tiap liat content fine hibur yaa saya tonton guna saya skip terus pada permasalahin apa jmbd mmk
1155,cinta ericko lim
1156,cuma kecewa pas yg yakult doang
1157,dari dulu suka nonton vidiokamutapi saya suscribe wkwk
1158,doainkamusukses terus bang
1159,dukung kamu erick
1160,dukungkamunyet walaupunkamukontol
1161,dulu suka sama kamu semenjak kamu ngehina youtuber laen sama orang pikir x unsubs aku kamu
1162,tidak benci erick malah dia upload gapernah lupa sama video awal video sampe akhir gada benci sama video sama orang malah ken ketemu sama erickk ppq
1163,tidak peduli bang sama komenankamubang jujur tetep suka samakamuvang jujur apa ada suka suka hidup sendiri yg penting bahagia bang
1164,tidak subskamutiap hari nonton videokamusetiap iklan skip saya bangsat
1165,tidak fans arap atao ericko yg penting bisa hibur tertawa anjinkkk kontol sumpah seru maju terus rick
1166,hatress kamu anjing terima ta
1167,heran banyak yg bilang suka masih di tonton kalau suka tidak usah tonton
1168,kadang bingung bedain mana haterskamumana fanskamubangsat smuanya sama toxic
1169,tidak skip iklan biarkamutambah kaya kontol
1170,kamu kerennn bggg hhhhh
1171,kapan top comen sihh anjing
1172,kenal kamu benci bang santai ae bang salam benci
1173,kira ken marah menit menit akhir tunggu marah seperti deddy corbuzier
1174,lebih baik benci banyak subcriber sama adsense naik bosss
1175,lebih suka chanel chanel yg sumpah yg unfaedah suka yg unfaedah
1176,lebih suka ericko lim jomblo
1177,ma liat atta halilintar masuk rumahkamubanyak piala ama sertifikat cakep begitu siap anjing ada tv mana anjing malesnya w buly orng kalau canda sama temen beda lg
1178,malah tertawa bangsat bngst emg eriko lim
1179,males skip iklankamuanjing
1180,mau muji kamu muka kamu kaya muka kamu kalau muka kaya muka kamu terus muka mana anjing ken makan jembud eh enak bangsat anjing
1181,mau mujikamukarna mukakamukaya mukakamukalo muka kaya mukakamuterus muka di mana anjing ken makan jembud eh enak bangsat anjing
1182,neng sama bang erik kontol
1183,tidak anjing l manis
1184,notnon iklan skip anjing yg skip cupu bangsat
1185,orang perlu didik dapet ajar didik nonton ericko lim video didik banget anjir suka banget videokaya gin
1186,punya kontol
1187,sebenernya suka sama kamu bang sering toxic
1188,selalu supportkamuko bang santai benci benci kontol emang
1189,si suka sama kamu bang aku anggap kamu teman makanya aku hina kamu terus anjing fakta muka kamu gitu bngst
1190,gemar hidupp saabuuunnn
1191,subscribe ngrsa hibur suka subscribe baek saya ambil jlk abai yang jls saya nnton saya suka chnl yang saya tidak suka boro saya subscribe d tonton kagak
1192,subskamukarnakamumenghibur bang toxickamuitu pas waktu yg tepat kliatan hibur jujur jgk toxic pas di waktu yg tepat biar kliatan lucu terus upload unfaedah hankamubang
1193,subscribe kamu suka kalau kamu frontal never unsubs forever melettttttt
1194,subscribe kamu sblm m bang suka ama konspirasi kamu
1195,subscribekamukarena konten buat tertawa anjing
1196,subscriberkamuudh dulu waktu jaman digarena dari dulu tidak pernah like apa share vidiokamudan tidak pernah jelekin kontenkamucukup subscribe sama lonceng sudah dukung gitu by the way tyy rick
1197,suka ah sama elu bangm gift sultan macam apa niih
1198,suka banget sma konten luu bang
1199,suka chanelkamubang broo
1200,suka chanelkamusemuaya lucu jangan dengerin apa kata orang ikutin ajah apa kata hatikamusob hehe ngeliat orang kocak lanjut bang erikolim
1201,suka edit kamu bang beneran dah
1202,suka erick goblok alami
1203,suka erick goblok alami
1204,suka erik koll goblok murni cemar sama
1205,suka gaya bang erick ayo hatter komentar sini awokawok
1206,suka gaya kamu bang
1207,suka gaya kamu nanggepin benci rick
1208,suka gayakamubang
1209,suka gayakamunjenkk lanjoottt sampe savage tertawa liat tanggapankamugua bocah yak
1210,suka gayakamurick wkwkw ngetod
1211,suka kamu kamu usak generasi bangsa woy ngomong kotor sopan youtuber suka miawaug ama jessnolimit
1212,suka kaos bang giveaway dong d
1213,suka bahasa tara s bro
1214,suka kontenkamubang
1216,sukakamubang suka orange justice lu
1217,suka minum yaqul hahaha
1218,suka ngikutin tingkah laku kamu malah suka pangil rengkarnasinya ericko
1219,suka nonton videokamu kamu suka toxic kwkwkwkwk terus lah toxic bang
1220,suka pribadi soal cuman ken diri sendiri dengar komentar orang
1221,suka sama channel channel tutur kata sopan banget sangat mndidik tiap hari kasih nonton anak video erickolim kelak ank hati lembut sopan tutur kata kaya erickolim smoga anak kelak bsa sperti erickolim
1222,suka sama gayakamurik
1223,suka sama lho bangng bg
1224,suka smua kontenkamurik buat tawa ktawa sekrng susah bnyakan cinta taik wkwwk shoap is the best
1225,suka toxid go go ericko lim
1226,taukamurickkamujuga manusia sebenernyakamusakit hati baca tapikamusok tegar haha
1227,tetep suport elu bang wkwkwk hidup sopers
1228,tetep support kamu kontol
1229,tonton iklaaan sampaaiiiiii habissss anjinkkkkkk buat nambahin dana kamu bangsat
1230,udah bg udah kali subsribe kamu yg maksa buat kamu liat chanel family friendly goblok satu squad suka chanel salam gemar ajg fuck your benci
1231,guasih ngedukungkamuaja bang sukses terus juta subscribe tahun iniii
1232,gud bank w suka
1233,gud rick makin sukses depan
1234,gud erick aku suka kamu kontol
1235,aku aku konten chanel emang faedah aku aku konten chanel didik aku muslim aku punya otak punya pikir punya akal punya nurani aku bukan org bodoh chanel aku jadi hibur bukan tiru yg ngehate blg erick bego dia sendiri bego kamu semua pikir kalau baik udah tidak usah tiru kapan indonesia bakal maju kalau rakyat masih bego dal komentar serah aku kalau aku mau subscribex erick
1236,aku iklan aku skip anjing awas youtube riwend jelek
1237,aku mau coba benci sama erik tu bingung
1238,aku mu nanya para benci erickolim emgnyakamupantas ngehina bilang muka tidak tampan emg but dunia tidak ada orang yg sempurna so intropeksi diri sendiri cebong
1239,aku muslim nyaman itu nonton channel lo
1240,aku tertawa anjing
1241,aku paling tuju sama omongankamurick kalau rusak jangan tonton jangan contoh buat hibur bagaimana si eric toxic depan umum terus reaksi orang bagaimana makan jembut rasa apa gausah kalian coba udah kasih tau rasa kalau penasaran sok tidak larang kalau mau didik sok cari kolom search kalian memang pantas tonton youtube kids rap ngomong karana arap terjun dunia ytb udah lama udah alam yt rewind indonesia bukan projek kecil erick sorry cuman ambil simpul si terimakasih
1242,aku rapstrounot yg ngefans samakamukontol
1243,aku tuju samakamubang suka usa lihat
1244,aku subcribekamukarnakamusuka makan jembut
1245,aku suka banget ama orang ini
1246,aku suka chanelnya bang sini hibur kocak buat stres ilang dikit hehe cuman suka hibur bang rkamudong kalau suka comment tiap videokamuaneh yah benci update bhuat comment arti tonton tertawa aku
1247,aku suka gayakamubang sangat asik kontenkamusangat hibur jangan peduliin omong orang yg bullykamukarena juga hakkamubang erick
1248,aku suka video channel sangat hibur semua aku tonton video skip manusia berfikir mana yg kita contoh yg patut kita contoh inti video ericko lim hibur viewers
1249,aku udah subscribe kali kurang baik apa aku
1250,aku yakin benci ericko lim fansnya si arap toket lebih baik kalian pulang sono jilat kaki kaptenkamuitu hahaha dasar kontol
1251,guee soaperzssss sejati aaaaaaaaa hidup sabunnn
1252,guru sama yonglek noh kalau nyari benci buat ningkatin adsense a arap blum sahabat indah bocah suka ngikutin yg toxic biar sebut gaul malah cringe
1253,gusti farhan alfath dek bahasa jaga atuh etika agu ngeres baik benar benci ericko lim org yg ngeres cuma keluar kata yg baik kesel sama ericko lim ericko lim lah usak generasi buah buah minum normal ngeres contoh pisang susu awal pisang susu la cemilan normal gara gara ericko lim semua ubah dunia banyak org ngeres jadi benci ericko lim org yg kgk ngeres cuma ngomong kotor ericko lim sifat ngeres ibu ericko lim sesal ngelahirin ericko lim ericko lim masuk agama kristen pernah tobat dasar generasi sekarang kamu ericko lim tobat lah sekarang lambat
1254,aku bingung yah smua haterskamuupdate yah selalu komentar tiap youtubekamuerik jd arti subscriberkamudong kalau suka comment tiap videokamuaneh yah benci update bhuat comment arti tonton tertawa aku
1255,aku koment kontol
1256,aku cuman bilang lol and mantap
1257,aku subskamurick aku tetep salut samakamuyang goyah sedikit meskikamubanyak benci banyak yg judgekamudankamutetep kekeh sama pendiriankamurick aku taukamuorangnya baik moral meski aku pernah f f samakamurick inti keep fighting rick wa sini misal minum kalau d tiru anak sini boleh atur
1258,aku bakal unsubskamubang aku suka konten lo
1259,aku suka kontenkamuanjinkkkkkk
1260,aku ikut hate comment lah biar masuk video erick wkwkk rick video lw manfaat banget anjing buat aku neng jing sumpah ni subscribe di like bisa channel cuma juta juta biar soapking bangkit wkwkwk
1261,aku kira nyium bau badan nyata bau mmq eric kontol slow tv di yt inti hibur dankamuharus tau jangan di ambil buruk
1262,aku lbih sukakkamuduet sama pacar lo
1263,aku lebih suka erikolim orang munafik ky mr o
1264,aku lebih suka kontenkamuyg dulu bang yg jadi pinki man tertawa
1265,aku lg berak anjingkamuanak lonte
1266,aku mah suka nonton ng subscribe kagak maaf kntlik bangke
1267,aku malah sukakamukonten aneh njir wkwkw
1268,aku aneh ama benci jdi benci tidak erti kali ama canda hibur bang ericko jdi slalu anggap bang ericko seperti kontol wkwk mungkin blom tau arti makna hibur lebih yg lagi mereka cuma bisa ngatain ngebully bang ericko wkwkyou are very entertaining bangakamutidak nambah rusak generasi sekarang
1269,aku subscribe kali anjing
1270,aku nonton benci nonton cebong sama kampret gelut wkwkwkwk nonton dah pentingkamutetep teladan aku all hail lord kontoru salakulllllllllllllttttt kentot mpusssssssshshhh bau vagina
1271,aku nonton videokamubang tidak niru ketolololankamuv
1272,aku paling nggk suka liat orang ngemish like
1273,aku paling suka kalokamupake intro begitu wakakak
1274,aku saraninkamubuat part rick bagus ane
1275,aku sedih njer kalau ejek terus bawa mama ato bokap w
1276,aku selalu dukungkamubang ttp karya dari toxickamubisa buat cerca senyum saat lepas lelah
1277,aku selalu dukungkamurick slow cukup dirikamusendiri yang jelas kalau suka sama channel unsub gausah ribet gausah bacot simple
1278,aku subskamuric karnakamubeda kalau blakang kamera baik banget
1279,aku subsskamurikc kalem terus karya bro anjing wkwkwk canda
1280,aku suka channelkamuericko lim
1281,aku suka elu elu munafik sok baik toxic toxic
1282,aku suka ericolim
1283,aku suka gayakamurick
1284,aku suka gayakamurikkkkk
1285,aku suka kontenkamurik
1286,aku suka kontenkamubang kontenkamubagi aku hibur banget terus karya buat konten baru doa aku moga chenelkamuberkembang rejekikamunambah
1287,aku suka koq sama bang erick
1288,aku suka li rick aku suka bacotankamusemua orang hibur cara sendiri belum laku semangat rick disosmedkamubilang anjing kentot bangsat belum tentukamudi dunia nyata seperti gitu semangat rick
1289,aku suka liat kontenkamueriq biarpun ngak mutu entah aku suka
1290,aku suka nasehatkamubang rick pas akhir videogood luck bang rick
1291,aku suka sama erick oramgnya seru
1292,aku suka samakamubang oxic meski yg sensor emang gausah dipikirin omong si botak buat seru coeg
1293,aku suka sama ni chanel
1294,aku suka sama video ericko lim gantung kita skrng klok mnurut kalian baik iya udah tidak usah lakuin cukup toton buat fun lah cuma hibur bukan mengajarin soryy buka pihak ericko lim emng hibur aku sama video
1295,aku suka samakamubang tingkahkamugw suka idio openingkamuada di tambah buff gold keong awto cepet anjing
1296,aku sukak gayaa luhman komentarin org emangx sempurna
1297,aku sukak sama loo bg ada munak sama
1298,aku tau rick bukankamuyg buat bocah ngomong kotor yg ngajarin ngomong kotor tu mobile entot bangsat
1299,aku tetap dukungkamubang erico lim aku suka kalaukamutoxic tingkat walaupun benci banyak ngak usah pedulih
1300,aku tiap hari nontonkamutapi jelek jelek aku kagak tiru bang
1301,aku yakin j persen yg komentar sesal tengah mampus hati benci bangke sesal aku bacotin si kontol malah jadiin duitslike tcd
1302,gwe jujur kamu tampan rick kamu keren gila gila elu gwe hibur gwe neng liat konten konten kaya elu buat tertawa asww wik wik wik
1303,gwe ngelag anjing nonton tnang bnya iklan jga anjing
1304,gwe nggk skip iklan sama anjing
1305,gwe suka banget konten didik begini
1306,haahahaha bagus bang
1307,hadeeehhh masa channel didik bnyk haterssube apa usah jelek in org tod ini benci tai benci bangsat cobakamuyg buat konten youtube
1308,hadeh dasarhaters kontolkamusemua anjing
1309,hah benci ohh maksud kontol
1310,haha aku suka kamu toxis bang lebih baik toxis tertawa gosipin orandia udah kebal pantat vozz
1311,haha bangsat tertawa aku
1312,haha benci baik
1313,haha benci kontol anjing goblok
1314,haha benci tolol haha muka palkon
1315,haha mantap
1316,haha manusia punya adab omong jaga bilang happy banget masalah disstrack arapnjadi trending eh nyanyiin pas panggung haha sehat lim
1317,haha orang orang kontol munafik ngehujat kamu erick
1318,haha welcome tu kentot fucking channel suka usah liat haha kadang mau yg faedah pacar mlas ibadah buka buka aurat haha kalau nengok bokep minta link seriuosly haha sumpah tertawa
1319,hahaahaha benci kontol bng ricko lim
1320,hahah tetap karya anjing ush dengar benci
1321,hahaha larang buat konten tolol
1322,hahaha bocah kontol buat tertawa anjing
1323,hahaha dnger benci tolol
1324,hahaha kalau nonton channel erick biasa cuman anggap hibur konten yah suka ngomong anjing kontol vagina hey bagaimana kalian semua nonton arap ngomong anjing bangsat kalian tonton kalian subscribers kata suka didik sampah like subscribe tonton sekarang benar sampah kalian bocah orang bego koar komentar doang sadar diri kalian mungkin lebih sampah lebih tolol real saya malah tertawa lihat benci elu bang erick wkwkkw sekolah perlu lebih serius yah jangan sekolah sampe gerbang doang tidur doang kontol benci tolol kalian ngomong konten nya erick sampah kenapa kalian tonton fuck bitch tolol kalian lebih orang yg udah hilang akal sehat youtuber punya masing konten buat
1325,hahaha mah bahagia jaa ama chanel gokil ajg erik
1326,hahaha hidup pantat tebal
1327,hahaha hina arap ngomong anjing sering ngomong anjing wkkwkek mati azab nya keroyokan anjing
1328,hahaha intro mantappp channel family friendly duniaaa
1329,hahaha kontol
1330,hahaha kontol channel anj
1331,hahaha semenjak subscribe eri coli m bahasa indonesia lebih baik
1332,hahahaha bang ericko emang youtuber toxic berpaedah jangan lupa subscribe bang ericko benci guru didik coli yg paling family friendly dunia kamu g suka tolol bodoh goblok pikir anjing
1333,hahahahah tetap semangat aku asal elu ngehina agama tetap aku suport pd buat youtube menertawakn agama dn kumpul benci semua yutub biadab alias munafik hiya hiya hiya ch belah tu biji yg suka bilang boo ong sukses buat youtube tahun bro
1334,hahahahahah malah ketawaol mulu entar tu jidat tumbuh kontol baru tau rasa kamu terus tu jidad belah pepek
1335,hahahahahahaha kontolllll
1336,hahahhahah benci kontoll
1337,hahha benci duit tod anggap mereka kontol guna hahaha
1338,hahha banyak benci jilat neh wakakka benci ngikutin jaman dasar benci kontol
1339,hahhahaa baru suka ni anak hahhaa
1340,hahhahaha bocah kontol org yg tau mana yg usaha mana yg hina lol slalu dukung bg meski abg nyeselin hahaahhaha canda
1341,hai ericko benar fans banget sama lagu kamu bagus
1342,hai gais it s your boyz channell keren kece terhits indonesia
1343,hai kontol
1344,hajar bang katain kontol kentot biar tau kalau kentot sadaapp
1345,hajar bng doang tappi subscribe ama like hehehehe kontol
1346,hak mau suka enggak mana otak
1347,hala benci kontol lebih baik subscribe channel wkwkskw benci kontol vagina jembod kontol kotor
1348,halah bacot kontol
1349,halah bangsad kao erick kontol
1350,halah dasar manusia manusia kontol
1351,halah kontol
1352,halah kontol
1353,halah kontol kau chanel yt terfamily friendly i love u erik kontol lim no limit pros kontollos
1354,hallo kontol
1355,halo wahai netijen yg baperan kontol
1356,hapus cenel kontol
1357,hapus channel kamu kira reza arap tolol
1358,hapus cenel kontol
1359,haram q nonton konte anjingk
1360,harap ekspresi kamu waktu baca komentar komennya ekspresi antimainstream eh nyata ekspresi persis video reza arap sedikit kecewa saya akspresilu mainstream bang baik bang semangat kontoll
1361,hari jni aku subscribekamukarena nonton video karena aku ngerasa smua orang jg ngomong kasar sering tidak dosa silah ngatain ericko lim
1362,ngebully kontol emang benci
1363,ngomong anjing loo anjig
1364,hate comment komentar tolol asal luap emosi
1365,hate kamu orang punya otak anjing semangat my king da cokk benci kwkwkwk
1366,hate nonton bilang faedah nonton bilang gausah upload bilang jelek jelekin dia nonton lah piye ki karepane hatersmu rick wkwkwk bilangkamusampah guna ky kontol tapi omong asa lebih bangke kontol yg busuk gitu mbil sisi baik makanya punya otak pake perfect
1367,benci eric so bijak anjing kontol kalau suka ush tonton vagina
1368,benci mahh cuma sirik doang cuekin mereka ngomong kaya cundang terus buat channel manfaat biasa xd
1369,hateres tolol pernah sekolah y
1370,haternya tolol subscribe juta juta rupiah goblok
1371,benci fans sakit
1372,benci fans yg tunda kampret bijak definisi lolz tertawa
1373,benci adsense subscribe erickontolim anjinkkkkkkkkkkkkkkkkkkkk biar juta subscribe
1374,benci anak anak anjing biasa lah iri ama kamu
1375,benci anjing
1376,benci anjingkamukagak pernah sekolah harga karya orang mau kagak kalokamupara benci buat channel harga goblok benci
1377,benci anjing tolol goblok gasuka video gausah nonton anjing
1378,benci anjingg kentot babiiii
1379,benci autis dah tau suk aj tonton muka kamu dah tolol benci aj tolol benci goblok hahha semangat kak eric
1380,benci baik d
1381,benci bangsat channel didik ericko lim aku dukung luh ever
1382,benci bangsat emang kamu buat video paling family friendly
1383,benci bangsat terus karya bang erick
1384,benci buat kaya anjing hahaha
1385,benci bilang konten didik konten bodoh hey benci anjing si erik salah benci bodohkamuminta channel yg didik channel yg bikinkamupinterkamunonton channel saja anjing tidak usah tonton channel yg kaya tai ginikamuhaterskamusemua salah berekspektasi eriko lim yg minta buat konten yg didik salah besar kalau bego jangan diexpost please
1386,benci bodoh dukung erico lim biar insaf dasar benci kontol
1387,benci buatkamugede kaya kontol
1388,benci comment videokamunyuruh gausah upload video tapi nontonin videokamudan nunggukamuupload video biar ngebully mungkin juga subscribe channelkamubiar ngebully telat erasa lebih bangke kontol yg busuk gitu mbil sisi baik makanya punya otak pake perfect
1389,benci cuma ngehina bisa karya
1390,benci cuma koar jelas bagus t
1391,benci deket benci
1392,benci emang bego udah suka nontonppppp
1393,benci emang jahat goblok
1394,benci emang jahat kontol
1395,benci emang the bestt kontoll
1396,benci erik kontol cuman berani komentar anjingkamunyadar dong mungkinkamunge toxic karenakamuga se sukses
1397,benci gada otak nonton tinggal nonton ribet segala komentar itukamuterhibur kan nonton video erik gwsah muna dahkamungntd masa iya maukamuikutin hidup nyata cuma dar video tonton bos gausah bawa bawa dalam hidup nyatakamudasar benci dongo inget cuma dar tonton bukan bapak kau nyuruh kau salto teruskamuturutin wkwkwk
1398,benci bisa buat kata yg jelas hidup benci yg jelas
1399,benci goblok anjing slow gaes semua orang punyak hak sukuri yangkamupunya sekarang tanpakamungehujat orang idupkamumaksakamuya buat ngehujat orang wkwk dasar kontol ontol
1400,benci goblok seperti kontol gitu cuma bacot wkwkwk
1401,benci goblok kontol pikir lah bro eric mana mungkin beli subsciber pikir lah udah kenal kali dasar goblok kocak benci anjing yg lebih extrim dong
1402,benci goblok smua g punya otak pikir pakr kontol anjinggggkamukomen banyak yg dapet duit malah neng nambahin duit anjing goblok bangsat vagina
1403,benci goblokk kalau tau bagaimana si soapking diem kotor goblokk tu sebenernya emang gitu bangsat emang wkwkwkwkw becanda bang salam gemar bang dukung ku terus
1404,benci benci vagina kamu kencing lurus tolol
1405,benci benci tolol bang garena anjiinkk n vidiokamudri dooloo emng tidak jlas mnghibur bangsat
1406,benci indo mah jahat jahat
1407,benci is just fuckin hate you bego
1408,benci alien kontol
1409,benci anjing fucking bits kontol by benci kentot haterss fuck fuck
1410,benci bocah cuman bilang anjing kentot tolol kontol tau arti kata
1411,benci hanya baik ada video
1412,benci ibarat semvak yg di pasang tidak gara gara semvak benci lebih buruk pada bau upil kudha
1413,benci kaya kontol bang cmn liatkamudari sikapkamudoang gataukamulebih aku salut samakamubang ngebantu anak yatim piatu respect for you soapking
1414,benci cinta topi v
1415,benci kalau benci knp nonton
1416,benci kalok suka diem jangan kbnyakan komentar please stop making stupid people femous
1417,benci kamu otak tengah ngomong anjing bangsat vagina jembut tai kontol benar kak
1418,benci kontol
1419,benci kalau komentar maki maki kalau ketemu ngajakin foto aneh anjing
1420,benci baik
1421,benci baik
1422,benci jahat
1423,benci jahat kamu bego kontol
1424,benci jahat serah benci lah anjing emangkamusiapa bngsd
1425,benci jahatnt hahah
1426,benci kontol
1427,benci kontol
1428,benci kontol anak hasil sperma koret kondom bocor
1429,benci kontol anjing
1430,benci kontol bela kamu rickwkagi salam shoapers semarang
1431,benci kontol banyak makan micin kali yaa
1433,benci kontol vagina jembut ribut ayo kontol sama aku kentot kalau kamu neng sama ni chanel kamu ngapain nonton bangsat
1434,benci kontol smua komentar
1435,benci kontol gemar goblok lu
1436,benci kontol karya banyak suara
1438,benci kontolllll
