,ID_text
127,aku harap ericko lim toxic
128,aku benci aku benci bang
129,aku benci baik
130,aku benci baik tottttt
131,aku benci kamu bang at ide videobaru epick
132,aku benci lebih sampah lho cuman comentar karya
133,aku benci skrg wkwkkwk
134,aku benci kamu dasar ericko lim bulu malu dasar malu laki anak musuh kucing malu wanita
135,aku heran youtube facebook neng ngomong vagina kontol temen fb aku skarang masuk cewek udah ngebadword pake kata kontol vagina
136,aku heran fans erik colim liat betah liat video muka macam biji karat
137,aku heran ni sapa benci klau kalian ngak suka sama konten eric ngapain kalian buka ngak punya otak benci kerja tau bacot terus emang ngak kerja ngebacot terus memang benci orang indonesia banyak tolol klau kalian iri ngmong lah jangan tau bacot anak kecil ngak tau diri udah dewasa mas bacot kaya anak kecil
138,aku hetters sekaligus fans
139,aku hibur pas atas ngomong kontol jembut bangsat lain aku jyjyk ea padahal aku sering ngomong gitu apa arti aku anak kontol
140,aku ikut ngehate ah masuk you tube
141,aku jdi ikut sedih rick tanggung jawab
142,aku jijik aku tertawa nengok video ku subscribe jd aku tau haterss fans tiap aku nonton selalu tantang gitu toxic gilaa jd was pas dengar sama boskus
143,aku kalau bilang kontol vagina depan guru malah suruh bilang
144,aku kmarin ngestalk hlaman fb kamu rick aku ktemu caption kamu yg lgi curhat ntuh aku dpat motivasi kontol thanks erick kontol limun aku fans kamu sejak video kamu video yg didik aku prcaya stiap prbuatan hikmah lah kontol benci ericko seperti kontol kadal zimbabwe baca rick komentar aku aku doain juta subscribe taun depan taun jga gapapa kalau brhasil juta subscribe cukur jembut livestream
145,aku kalau liat ketawa feet nang terus tolol mu bang banrikonto
146,aku kwkw m cakep suer guelaporin biar mampus
147,aku lebih suka erikolim orang munafik ky mr o
148,aku lebih suka kamu yg dulu kamu yg youtuber gaming
149,aku liat aku unsubs dah cenel kamu kentod
150,aku liat idung kamu gede ancur
151,aku liat lucu hate kamu nonton komentar video kamu
152,aku liat sama ortu w ortu w pernah marah su l sini kamu bocah yg bilang kalau ortu dimarahin
153,aku like njink
154,aku lumayan suka sama bang ericko agama sama aku sebenernya bang ericko orang baik cuma tampil layar gitu
155,aku mah gabakal mau unsub channe kalau suka ngapain tonton bangsat
156,aku mah liat aj suka suka penting liat aj kalau suka ush comennt langsung liat biasa aj serah punya channel mau ngapain emang situ gedein chanellnya liat proses bro jangan hasil fuck the benci
157,aku mah subscribe kamu cuma buat nonton video kamu doang
158,aku mah suka sama chenel lucu
159,aku makan indomie terus eh pas kamu nunjukin kesexsian kamu indomie yg aku makan keluar semua anjing
160,aku malah anggep sama temen aku adeknya ericko bangsat
161,aku manggil kamu erickkontol
162,aku mau benci ah biar komentar aku msk ytil
163,aku mau heaters ah aku heatersnya heaters kamu
164,aku muslim aku suka erick bagaimana
165,aku fans sama kamu fuck bangsat kamu anjing aku udah subribre kamu kamu sama anjing
166,aku subscribe kali anjing
167,aku ngedukung walaupun ngomongnya anjing bangsat kontol vagina kentot fuck shit
168,aku ngefans ama kamu anjing aku mau lihat video kamu tatto makna tatto kamu salam shoapers
169,aku nguquq njir
170,aku nonton video kamu skip iklan anjing
171,aku paling benci ni chanel
172,aku paling suka kaya gin
173,aku paling suka liat orang yg suka ngemis like anjingg yg tujuh sama koment aku like bangsat
174,aku punya kapten bilang punya sayap mirip malaikat sekarang pergi hidup moga kapten sana bahagia hidup baru i love capt
175,aku pura pura ngehate yak erick kamu bacot vagina kamu udah perjaka
176,aku gemar rick santai yg suka ush nonton ajg
177,aku subscribe di garena anjing
178,aku suka banget konyol gitu
179,aku suka banget ni channel kreator kreatif hattets emg bego jelas channel keren
180,aku suka bingung bang sama orang maksa kamu buat content didik padahal tv udah banyak aku heran orang kamu youtube padahal yg didik seperti
181,aku suka channel kamu bang kamu buat aku hilang stress doank kerna channel kamu aku hibur iya udah semua channel benci doank jdi sabar bang by the way keep it up bang erick
182,aku suka coli kamu lebih baik aku coli pake apa
183,aku suka ericko lim lucu
184,aku suka ericko roti jembut kratos jembutos
185,aku suka gaya kamu absurb parah being normal is so bored
186,aku suka gaya kamu anjing haha hibur bedd hahaha kontol ahaha
187,aku suka gaya kamu bang erti kamu gitu cuman buat ngehibur doang
188,aku suka gaya kamu rick
189,aku suka gayalo baby awto subscribe
190,aku suka gayalu mntaplah
191,aku suka intro kamu doang buat jam aku nonton full
192,aku suka aku nonton
193,aku suka kamu aku suka cara kamu nanggepin benci
194,aku suka kamu bang kamu toxic aku suka kamu aneh emang hak kamu aku tau kamu orang asik lanjut bang
195,aku suka kamu ericko lim kakak komentar aku masuk hate comment uda pake capslock bangsat tertawa anjing
196,aku suka kamu baik
197,aku suka kamu toxic bang
198,aku suka kata kata akhir maera emng gin aku dengar kopex kamu baik bet orang
199,aku suka kau
200,aku suka konten kamu
201,aku suka kontes kamu gara lucu erick santai yg benci pd bocah kentot smua
202,aku suka ni channel konten gni
203,aku suka sam si erick tertawa anjir
204,aku suka sama konten kamu bang sangat hibur tetap semangat buat konten bang
205,aku suka sama ngemis like
206,aku suka suka sama channel meski toxic hibur aku benci bilang channel goblok banget kimak
207,aku suka susu
208,aku suka toxic kamu korick lanjut
209,aku suka bedah
210,aku sukaa sama gayakamujadi diri sendiri rick jangan ngikutin omong orang stay gemar
211,aku sukaaa sama konten luuuuu hibur mau kamu toxic laku yg unfaeda hibur bangt kamu tampil beda luar negeri banyak yg buat konten unfaeda kamu satu orng indo yg beda hahaha but i like that
212,aku sukak sama kamu bang
213,aku suport kamu bang kamu keren kamu tampan kece parah semangat bang
214,aku tanya kamu benci mau ledekin ngatain kaya kontol nyadar bego
215,aku tertawa kontol wwkwkwkwkwkwk walaupun kamu tolol idiot aku suka banget sama kamu buat aku tertawa anjing
216,aku tertawa nonton ericko lim walaupun toxic mantap dah erick
217,aku tetep dukung kamu bang walaupun kamu kaya bangsat aku nonton video kamu no skip club stay gemar
218,akun w subscribe kamu smua kontol
219,akwowkwow kolo suka usah tonton anjinkkk
220,alah kontol kamu botak erick
221,alas aku jdi gemar sering nonton si erick kontol hehe
222,aldyan fitrah pratama woy kontol suka lah kotor kalau suka ericko lim pergi sana kamu kentot bocah anjing kamu
223,ambil baik jangan gblknya netizen selalu benar
224,ambil yg baik buang yg buruk kontol
225,anak anjing ah kontol malas aku ahhh crot ah gay hjomo ghiasdogojofhen e subsvribede a and assunsubscribe ahhahahahhahahasdjasixqw asshoel fkasking you be tch semogakamusadar sih cuma buat mememks ngilu ah asdijqwixqwozqoa ogw gaje ashjhfxkwqiuxisaiwis help me pslaesae me gay omgomgomgomoasda
226,anak anjing
227,anak haram kontol vagina kontol
228,anak kecil nonton salah orang tua ngasih gadget anak ny kontol
229,anak kontol
230,anak kontol juga kalau ngomong
231,anak kontol kuda ngemis like
232,anak kontol tu wujud ky apa haha
233,ingin mes buru komentar hina ericko lim
234,andai punya abang satu erick serasa surga hidup
235,ane bukan gx suka sama bg eriko ane suka sama karakteristik bg eriko lim itu tetap semangat bg eriko lim moga video banyak buat ane ketawa lucu kwkwkwk
236,ane suka gaya kamu bang
237,aneuk harem haaa buy aneuk okma bangsat anjing kaaah haaa aseeeeee makkkah fuck
238,anjay toxic toxiu jelek dekil toxic parah idup tapi ttp supportkamukok
239,anjay ericko lim no limit pros kurang keren apa coba erick
240,anjay nonton baru k selsai udah k hebatkamurick
241,anjay mantap no sensor unfaedah hibur bangsat mntap
242,anjay wkwk ingat benci buat rekening gendut cinta benci wkwk semangat brow e sndiri kontol pke ikut an si gledek dtk dtk dtk anjing lu
243,anjay kontol
244,anjay hhhh auto tertawa drpd fans arap alay bang arap bang arap bang arap kontollll
245,anjing chanel paling w suka gatau knp w suka nontonnya wkwkw
246,anjing aku rindu intro jess wkwk makasih erick isi masamuda ku tingkah kontol wkwk
247,anjing iklan tengah kontol untung w lewat
248,anjengg kau kontol
249,anjing
251,anjing aku paling benci kalau nonton kamu gaada iklan
252,anjing aku subscribe kamu kamu k subscribe jaman kamu kerja garena
253,anjing asu bangsattkamutaek
254,anjing kotor entot hahaha
255,anjing kotor hewan
256,anjing bangsat tai biji kontol bangsat
257,anjing bangsat tolol kentot haterskamujust kidding buat konten lebih hibur rick proud of u
258,anjing bapak kau kontol
259,anjing bau analog anjing
260,anjing chanel buat tertawa kontol kamu erick kaya aku mau komentar hate
261,anjing das erico lim tai mulut mu bau vagina bangsat kontol rambut kamu jembut
262,anjing daylen warpath cocok gitu dicombine wkwk
263,anjing daylend ama walpet hahaha
264,anjing ecic
265,anjing erickontolkamugokil banget
266,anjing erickontolim satu iklan yg aku skip kampang maju kaum gemar yg paling friendly dunia bangsat
267,anjing erick
268,anjing ada iklan bangsat
269,anjing motivasi kata elu bang auto langsung subscribe semangat bang
270,anjing udah ikutinkamutarik napas ngomong bau vagina hahaha tertawa asli
271,anjing gwe tidak pernah tonton pertama yaol
272,anjing benci pada goblok ada otak anjing tertawa auto pasang bom rumah masing masing para benci tertawa anjing otak mana otak pake anjing goblok terus salam anti skip siantar g buat hibur kalian kalian suka tidak usah tonton ericko buat konten bokep ngewek baru kalian hujat ataukamusamperin teruskamubakar hidup hidup mah serah kalian
273,anjing iklan banyak v
274,anjing jess pros lim kuontol susu manis
275,anjing jijik entot
276,anjing kamu
277,anjing kamu bangsat kamu punya diri naro gambar mata satu channel agama apa
279,anjing kamu tampan rando
280,anjing kamu muka monyet
281,anjing kau benci ericko abang w taikkchannel didik
282,anjing komentar banyak orang no life anjing bacot sosmed doang
283,anjing komentar gaada bangsat unsubskamuanjing
284,anjing komentar pertama sumpah kalau aku kamu erick aku cari orang make bawa bawa orang tua kalau hina diri sendiri wajar lah ngina sampe orang tua bangsat
285,anjing kontol
286,anjing kontol aku dukung kamu eriko
287,anjing kontol bangsat mutu mati tai anjing
288,anjing kelaperan toxic kontol bilang cuman canda akhir di serang dog lovers eh klarifikasi udah lama video tetep anjing bingung otak gitu
289,anjing lho rick ajing tau seperti bocah anjing kontol pepek sorry bang sengaja biar abang auto kaya
290,anjing liat video kamu saya tertawa
291,anjingkamurik salut samakamulo tetep semangag banyak heaters heaters luar sana salam gemar tasik malayata hahaha
292,anjingkamurik tertawa vvvv
293,anjing ngakakawoakwoakwosk
294,anjing tertawa erick ngliat expresilu jhaha
295,anjing kentot bau me erick hatersnya
296,anjing ngomong anjing wkwkwk bangyinggg
297,anjing ngundang buat youtube pake tegak sambung
298,anjing ni orang
299,anjing retard
300,anjing rip telinga aku pas dwtik pertama kontol
301,anjing sumpah benci tau diri goblok kalian benci mati kalian benci
302,anjing tertawa bangsat wkwkk komentar aku masuk hate comment uda pake capslock bangsat tertawa anjing
303,anjing tertawa bang benci kontolangsat kontol vagina muka kamu vagina asu anjing jahanam kintil hapus channel kamu anjing kontol vagina kontol asu anjing vagina vagina vagina vagina
304,anjing tertawa guah
305,anjing tertawa sumpah liat reaction kamu ajg
306,anjing tertawa tai
307,anjing tolol ericokontolll
308,anjing tulis sambung ngentoooooooooooot
309,anjing videokamu anjing anjing anjng
310,anjing youtube rewind ni iklan saya skip bangsat
311,anjingg erick gila pro buat org tertawa
312,anjing kentot kucing anak tikus
313,anjingggggggggggg
314,anjinggggggggggggggggggggggggg benci semua video yg faedah hanya hibur aku hibur anjinggggggggggggggggggggggggg benci
315,anjing
316,anjing anjing anjing anjing vagina vagina vagina kontol kontol kontol sep buat video terus bang sih
317,anjing kamu kontol tampan banget waduhhh aku laki gay kentot
318,anjing menit akhir nhentot lah semangat buat kamu aku suka pribadi kamu tetep semangat buat hidup
319,anjir tertawa banyak bacot apa aarna iri gabisa jdi jelek kamu
320,anjir zeno samakamukalo buat zeno sama senengkamudi lenyapin serta alam semesta ini jangan mainkamunt sini gelud anjing send alamat kontol
321,anjirr opening legendd bangg mantapp
322,anjir tertawa cukkkkkk kampret ahahahaaaa
323,anjjing i like you kontol wkwkwk
