,Stemmed_Comments,Fixed_Comments
0,rick kamu anak hasil kondom bocor,rick kamu anak hasil kondom bocor
1,kakak sok pede,kakak sok pede
2,keren bang slow aku subscribe kontol eenak,keren bang slow aku subscribe alat kelamin pria eenak
3,apa tangan mu tato,apa tangan mu tato
4,muka kamu anjing aku rugi nonton youtube kamu anjing,muka kamu hewan ternak aku rugi nonton youtube kamu hewan ternak
5,aku suka gaya kamu anjing haha hibur bedd wkwkwkw kontol ahaha,aku suka gaya kamu hewan ternak haha hibur bedd wkwkwkw alat kelamin pria ahaha
6,mantapp bang erickkkkkaha hibur bedd wkwkwkw kontol ahaha,mantapp bang erickkkkkaha hibur bedd wkwkwkw alat kelamin pria ahaha
7,buat haters kamu semua gosah sok sok ngerti video erickolim kalau suka ngapain tonton mudah anjinkkkkkk eriko maksa nonton video kalau suka alhamdulilah kalau suka yaudah tidak apa apa eriko tidak maksa njinkkkkk,buat haters kamu semua gosah sok sok ngerti video erickolim kalau suka ngapain tonton mudah anjinkkkkkk eriko maksa nonton video kalau suka alhamdulilah kalau suka yaudah tidak apa apa eriko tidak maksa njinkkkkk
8,subscribe cuma segitu doang kalah am atta,subscribe cuma segitu doang kalah am atta
9,eriko memek asu anjing cuiiihhh babi kontol kamu kecil,eriko alat kelamin wanita asu hewan ternak cuiiihhh hewan ternak alat kelamin pria kamu kecil
10,bang collab ma bang leokoce,bang collab ma bang leokoce
11,aku tertawa nonton ericko lim walaupun toxic mantap dah rik,aku tertawa nonton ericko lim walaupun toxic mantap dah rik
12,hahaahaha haters kontol bng ricko lim,hahaahaha haters alat kelamin pria bng ricko lim
13,,nan
14,haters konten,haters konten
15,sok iya banget kamu anjeng kamu bikin vidio ada faedah yg pantes ditonto bahasa kamu babi sesal kali emak kamu lahirin kamu memek harus silit kamu goblok,sok iya banget kamu anjeng kamu bikin vidio ada faedah yg pantes ditonto bahasa kamu hewan ternak sesal kali emak kamu lahirin kamu alat kelamin wanita harus pantat kamu tidak pengertian
16,babi banget yakan ni vidio pntg sekali goblok kamu buka sifat asli kamu apa yakan org yg subscribe kamu iseng subscribe terus keluar babi goblok banget mnding ngaca aja muka kamu kontol anjin,hewan ternak banget yakan ni vidio pntg sekali tidak pengertian kamu buka sifat asli kamu apa yakan org yg subscribe kamu iseng subscribe terus keluar hewan ternak tidak pengertian banget mnding ngaca aja muka kamu alat kelamin pria anjin
17,gua suka banget sma konten luu bang,gua suka banget sma konten luu bang
18,hahahahah,hahahahah
19,bang bikin vidio balas komentar haters biar haters benci anjing ka kagak terus terus engbacot poko bang iric semangat aku tau kenal bukan suatu mudah gampang butuh proses uji hates pokok tetap semangat bang eric jadi youtuber yang lebih sukses bisa lawan haters haters anjing,bang bikin vidio balas komentar haters biar haters benci hewan ternak ka kagak terus terus engbacot poko bang iric semangat aku tau kenal bukan suatu mudah gampang butuh proses uji hates pokok tetap semangat bang eric jadi youtuber yang lebih sukses bisa lawan haters haters hewan ternak
20,baku hantam mulai,baku hantam mulai
21,erick lim sma kim hime aku fans karena serasi kalau pacarang,erick lim sma kim hime aku fans karena serasi kalau pacarang
22,jangan hina erick aku fans jangan katakatai erick,jangan rendah erick aku fans jangan katakatai erick
23,hmm ahh bau memek,hmm ahh bau alat kelamin wanita
24,betul bang lanjutin aja karya luu bangtakatai erick,betul bang lanjutin aja karya luu bangtakatai erick
25,kamu baca sabar ngomong kotor mulu benci tidak usah baca komennya,kamu baca sabar ngomong kotor mulu benci tidak usah baca komennya
26,i love you,i love you
27,aku heartes bukan haters,aku heartes bukan haters
28,auto subscribe kamu i like itmong kotor mulu benci tidak usah baca komennya,auto subscribe kamu i like itmong kotor mulu benci tidak usah baca komennya
29,bilang sama orang mukak orang seperti jembut kucing,bilang sama orang mukak orang seperti rambut kemaluan kucing
30,pecah kepala otak orang bg,pecah kepala otak orang bg
31,gua suka sama lho bangng bg,gua suka sama lho bangng bg
32,slow rick aku di pihak kamu eak,slow rick aku di pihak kamu eak
33,gausa diladenin bang rick haters tu smakin kamu banyak haters kamu smakin naik bro,gausa diladenin bang rick haters tu smakin kamu banyak haters kamu smakin naik bro
34,sabar rick,sabar rick
35,anti pantad typyd si erick mah,anti pantad typyd si erick mah
36,panutan ku,panutan ku
37,semangat k walaupun dibully terus,semangat k walaupun dibully terus
38,tertawa ajg wkwk banyak haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik,tertawa ajg wkwk banyak haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik
39,semangat terus bangg k haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik,semangat terus bangg k haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik
40,ganteng bangggg k haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik,ganteng bangggg k haters nya yak tapi gpp rik tetep buat konten kamu suka di suka subscribe kamu salah satu gua rik
41,hhhmmm bau memek,hhhmmm bau alat kelamin wanita
42,penting karya ngehibur harus tenar goblok haters memang raja apa comment intro emang kamu ngbuat channel ampe subscribe gede bang eric,penting karya ngehibur harus tenar tidak pengertian haters memang raja apa comment intro emang kamu ngbuat channel ampe subscribe gede bang eric
43,dear haters inget boyy ericko lim kamu bakal dewasa,dear haters inget boyy ericko lim kamu bakal dewasa
44,tertawa kontol wkwkwkanpa ericko lim kamu bakal dewasa,tertawa alat kelamin pria wkwkwkanpa ericko lim kamu bakal dewasa
45,slb apa,slb apa
46,hahaha dnger para benci tolol,hahaha dnger para benci tidak pengertian
47,gua suka gaya kamu nanggepin haters rick,gua suka gaya kamu nanggepin haters rick
48,ericko lim is the bestin haters rick,ericko lim is the bestin haters rick
49,haters kontol,haters alat kelamin pria
50,yg sabar aja yg bang,yg sabar aja yg bang
51,hahahaha,hahahaha
52,sip bang,sip bang
53,tertawa sial emang berfaefah cuma bikin org tertawa sia channel didik,tertawa sial emang berfaefah cuma bikin org tertawa sia channel didik
54,banyak haters banyak duit btw ngentot d,banyak haters banyak duit btw berhubungan intim d
55,buat kamu haters jangan nonton kalau suka nyaranin org jangan nonton content kamu nonton kalau bocah yg nonton lalu tugas orang tua apa njing percuma nyariin biaya tapi kgk ngedidik,buat kamu haters jangan nonton kalau suka nyaranin org jangan nonton content kamu nonton kalau bocah yg nonton lalu tugas orang tua apa njing percuma nyariin biaya tapi kgk ngedidik
56,wehh eric kontol kapan bikin video reading komen,wehh eric alat kelamin pria kapan bikin video reading komen
57,tetap semangat brada,tetap semangat brada
58,tertawa bangsat,tertawa tidak bermoral
59,eh pokok subscriber ericko lim orang orang nonton video sangat sebal usah tiru orang bego yang enngak punya otak ericko lim kamu mending tidak usah seperti gin,eh pokok subscriber ericko lim orang orang nonton video sangat sebal usah tiru orang tidak pintar yang enngak punya otak ericko lim kamu mending tidak usah seperti gin
60,ngomong nya jangan kasar bangsat,ngomong nya jangan kasar tidak bermoral
61,sumpah we tertawa njirr,sumpah we tertawa njirr
62,gila emang yg koment negatip kamu kalau gasuka jangan koment bikin dosa aja kamu ini konten cuma buat hibur aja lah pikir dlu boy,tidak waras emang yg koment negatip kamu kalau gasuka jangan koment bikin kesalahan aja kamu ini konten cuma buat hibur aja lah pikir dlu boy
63,erick kontol,erick alat kelamin pria
64,baru buka ud lebay tengah,baru buka ud lebay tengah
65,bau mem k,bau mem k
66,kocak hahahaha banget,kocak hahahaha banget
67,aku aja subscribe pertama kali di gift sultan macam apa niih,aku aja subscribe pertama kali di gift sultan macam apa niih
68,susu kental manis,susu kental manis
69,gua suka ah sama elu bangm gift sultan macam apa niih,gua suka ah sama elu bangm gift sultan macam apa niih
70,awoke,awoke
71,yoi aku si yayaya,yoi aku si yayaya
72,haters tai kambingangm gift sultan macam apa niih,haters kotoran kambingangm gift sultan macam apa niih
73,panjat terus bang tembus juta,panjat terus bang tembus juta
74,bang ericolim gua salah satu subscriber kamu fans kamu bang,bang ericolim gua salah satu subscriber kamu fans kamu bang
75,baik erickolimsalam balriber kamu fans kamu bang,baik erickolimsalam balriber kamu fans kamu bang
76,good erick,good erick
77,bank erickolim bagaimana rasa nya coli pertama abank kapan,bank erickolim bagaimana rasa nya coli pertama abank kapan
78,bang kamu bikin collab sama kim hime viewrs nya banyak,bang kamu bikin collab sama kim hime viewrs nya banyak
79,bang gua haterslu,bang gua haterslu
80,tertawa anjeng,tertawa anjeng
81,plis lah,plis lah
82,bodo benci gpp kalau aku subscribe ama like vid kamu,bodo benci gpp kalau aku subscribe ama like vid kamu
83,hussssshhhhh bau memekklo aku subscribe ama like vid kamu,hussssshhhhh bau memekklo aku subscribe ama like vid kamu
84,pada ngehate orang nambah dosa mending kamu main game aja udah,pada ngehate orang nambah kesalahan mending kamu main game aja udah
85,bang rick kamu teriak ngomong kotor kedengeran ama yg ruang belah,bang rick kamu teriak ngomong kotor kedengeran ama yg ruang belah
86,kalau suka usah nonton mereka yg suka nonton,kalau suka usah nonton mereka yg suka nonton
87,haha anjing emang nonton mereka yg suka nonton,haha hewan ternak emang nonton mereka yg suka nonton
88,haters uangng nonton mereka yg suka nonton,haters uangng nonton mereka yg suka nonton
89,mantap bang gua nonton dari masa depan,mantap bang gua nonton dari masa depan
90,liat menit,liat menit
91,rik emut kontol gua pliss,rik emut alat kelamin pria gua pliss
92,apa aku kesini sg nya obby belum g prnh wkwkwk,apa aku kesini sg nya obby belum g prnh wkwkwk
93,haters cuma berani coment pas ketemu paling selfe,haters cuma berani coment pas ketemu paling selfe
94,,nan
95,tertawa wkwk jadi org jangan baperan lah wkwk namany jg channel hibur se kamu ngalir nying,tertawa wkwk jadi org jangan baperan lah wkwk namany jg channel hibur se kamu ngalir nying
96,benci g punya otak tolollllll otak nya kontol tolol benci paling bocah semua memek,benci g punya otak tolollllll otak nya alat kelamin pria tidak pengertian benci paling bocah semua alat kelamin wanita
97,haters adalahhhhh,haters adalahhhhh
98,maksud apa,maksud apa
99,wkwk,wkwk
100,komen kamu aja bocah,komen kamu aja bocah
101,yutuber sama subscriber comentator toxic semua moga kalian hidayah dapet balesan timpal aammiin,yutuber sama subscriber comentator toxic semua moga kalian hidayah dapet balesan timpal aammiin
102,benci emang gtu sok suka kepo anjing,benci emang gtu sok suka kepo hewan ternak
103,wkwkwkwk,wkwkwkwk
104,kamu tau kalau konten kamu yg ngk patut tayang emang benar semua gantung orang bisa filter mana yg salah mana yg bener apasalahnya gitu buat konten baikbaik aja boong kalau kamu ngk ngerasa suatu yg salah bagai creator yg punya subscribe banyak udah tangung jawab kamu beri konten yg ada manfaatnyala subscriber kamu emang aku tau duit goda banget pliss jangan mikirin diri sendiri aja bro,kamu tau kalau konten kamu yg ngk patut tayang emang benar semua gantung orang bisa filter mana yg salah mana yg bener apasalahnya gitu buat konten baikbaik aja boong kalau kamu ngk ngerasa suatu yg salah bagai creator yg punya subscribe banyak udah tangung jawab kamu beri konten yg ada manfaatnyala subscriber kamu emang aku tau duit goda banget pliss jangan mikirin diri sendiri aja bro
105,bacot ngentot,banyak bicara berhubungan intim
106,erick x kim hime,erick x kim hime
107,tertawa asu,tertawa asu
108,gila bnyk haters,tidak waras bnyk haters
109,kok memek ngilu,kok alat kelamin wanita ngilu
110,erick kontol panutanquee,erick alat kelamin pria panutanquee
111,tuju kakak tampan,tuju kakak tampan
112,ericko mahh imut and ganteng sekali,ericko mahh imut and ganteng sekali
113,goblok kamu kira org ericko lim gampanng apa dapet subscribe apa kamu aja yg iri,tidak pengertian kamu kira org ericko lim gampanng apa dapet subscribe apa kamu aja yg iri
114,seru,seru
115,sabar ric nanggepin haters ma,sabar ric nanggepin haters ma
116,awokawok,awokawok
117,ketemu ericko lim minta foto wkwk,ketemu ericko lim minta foto wkwk
118,gua aku ganteng kamu khentot,gua aku ganteng kamu khentot
119,kontol kamu rik,alat kelamin pria kamu rik
120,kim hime nonton kamu khentot,kim hime nonton kamu khentot
121,sabar rik,sabar rik
122,tertawa anjrit guaa,tertawa anjrit guaa
123,mohon sabar uji ntot,mohon sabar uji ntot
124,ngajieun konten ewean kagok taiiiwk,ngajieun konten ewean kagok taiiiwk
125,tai kudaa sia,kotoran kudaa sia
126,kim hime sangee,kim hime sangee
127,mantull,mantull
128,anjing,hewan ternak
129,ngejulur aja mulut kamu anjinggg anjing aja kontol lebih mirip anjing julur lidah taikkkkk,ngejulur aja mulut kamu anjinggg hewan ternak aja alat kelamin pria lebih mirip hewan ternak julur lidah taikkkkk
130,anjing bau analog anjingggg,hewan ternak bau analog anjingggg
131,awal nya aku subscribe terus aku unsub terus waktu aku pusing masalah aku real aku coba buka video lucu yt ketemu ama ni channel anjinx aku nonton aku malah ketawa orang gila mayan ngilangin stress tingkah gila ni anjinx thanks dah pokok auto subscribe n like aku,awal nya aku subscribe terus aku unsub terus waktu aku pusing masalah aku real aku coba buka video lucu yt ketemu ama ni channel anjinx aku nonton aku malah ketawa orang tidak waras mayan ngilangin stress tingkah tidak waras ni anjinx thanks dah pokok auto subscribe n like aku
132,bang kalau haters balas gin kamu bngsd gua tampol kamu,bang kalau haters balas gin kamu bngsd gua tampol kamu
133,bang diemin aja haters kontol nanti capek sendiri,bang diemin aja haters alat kelamin pria nanti capek sendiri
134,untuk kalian haters tonton video,untuk kalian haters tonton video
135,eh bg buat konten kocak lah biar tertawa nantonya pek sendiri,eh bg buat konten kocak lah biar tertawa nantonya pek sendiri
136,bang bkinin yg part ii dong bang,bang bkinin yg part ii dong bang
137,kalau muka erik kaya kontol aku tuju so erik niat ngehibur anjing sesimple tapi pikir kamu low nonton anjing jadi kamu haters erik and erik sama muka kontol,kalau muka erik kaya alat kelamin pria aku tuju so erik niat ngehibur hewan ternak sesimple tapi pikir kamu low nonton hewan ternak jadi kamu haters erik and erik sama muka alat kelamin pria
138,kontol cilik,alat kelamin pria cilik
139,bang kapan buat musik baru yg keren,bang kapan buat musik baru yg keren
140,yg ngehate kamu munafik rik pdhal smuanya iri gabisa jdi jelek kamu,yg ngehate kamu tidak jujur rik pdhal smuanya iri gabisa jdi jelek kamu
141,syalom mas erick,syalom mas erick
142,lagi apa nya benci begooo haters memek,lagi apa nya benci begooo haters alat kelamin wanita
143,haters sumber uang mantep rik,haters sumber uang mantep rik
144,dasar haters banyak bacot bisa apa aarna iri gabisa jdi jelek kamu,dasar haters banyak banyak bicara bisa apa aarna iri gabisa jdi jelek kamu
145,anjir tertawa banyak bacot bisa apa aarna iri gabisa jdi jelek kamu,sialan tertawa banyak banyak bicara bisa apa aarna iri gabisa jdi jelek kamu
146,rik aku request makan yng faedah aarna iri gabisa jdi jelek kamu,rik aku request makan yng faedah aarna iri gabisa jdi jelek kamu
147,makan jembut dong,makan rambut kemaluan dong
148,anjing ni orang,hewan ternak ni orang
149,urus erick banyak haters gua bakal jadi fans setia kamu bang,urus erick banyak haters gua bakal jadi fans setia kamu bang
150,bachott eek anak anjing,bachott eek anak hewan ternak
151,bilang eriko lim orang tolol arti tolaol kamu juga belum pinter benci ngentot,bilang eriko lim orang tidak pengertian arti tolaol kamu juga belum pinter benci berhubungan intim
152,part tunggu,part tunggu
153,mem k ngilu,mem k ngilu
154,suka konten kak lim uploadberarti tolaol kamu juga belum pinter benci ngentot,suka konten kak lim uploadberarti tolaol kamu juga belum pinter benci berhubungan intim
155,f cking stupid boy,f cking stupid boy
156,bang ericko agama pa y aaa,bang ericko agama pa y aaa
157,bang coba kamu bikin flog masuk greja,bang coba kamu bikin flog masuk greja
158,anjing kontol aku dukung kamu eriko,hewan ternak alat kelamin pria aku dukung kamu eriko
159,baca komen nya orang goblok nyata seru v,baca komen nya orang tidak pengertian nyata seru v
160,aku cuman nonton kamu bukan subscribe and like kamu kntl,aku cuman nonton kamu bukan subscribe and like kamu kntl
161,erik ganteng kok kalau liat jauh,erik ganteng kok kalau liat jauh
162,gua suka kamu kamu usak generasi bangsa woy ngomong kotor sopan itu youtuber suka gua miawaug ama jessnolimit,gua suka kamu kamu usak generasi bangsa woy ngomong kotor sopan itu youtuber suka gua miawaug ama jessnolimit
163,apa fans tunda,apa fans tunda
164,fans tunda pernah denger skinnyfabs wkwkw,fans tunda pernah denger skinnyfabs wkwkw
165,yee tolo kalean udah tau faedah tonton aja,yee tolo kalean udah tau faedah tonton aja
166,makin scroll comment makin banyak yg sok suci,makin scroll comment makin banyak yg sok suci
167,woiii collab sama arap,woiii collab sama arap
168,bang,bang
169,plis collab sama arap,plis collab sama arap
170,bang collab sama rap bang ih,bang collab sama rap bang ih
171,bang collab sama arap bang,bang collab sama arap bang
172,sabar bang,sabar bang
173,soapers bang,soapers bang
174,bodoh njinggg sama eriko lebih bodo heter kamu njingg,tidak pengertian njinggg sama eriko lebih bodo heter kamu njingg
175,tertawa bang liat,tertawa bang liat
176,wkwkwkwk i love you ericko lim,wkwkwkwk i love you ericko lim
177,sesal gua nontonin ni video menit,sesal gua nontonin ni video menit
178,liat konten terlalu normal jg kadang bosan jdi kadang tuju mampir konten yg unnormal gni jg salah satu asupan hibur prinsip cara orang beda buat ngibur viewers nya mungkin seperti gnilah cara si erick buat ngibur kamu,liat konten terlalu normal jg kadang bosan jdi kadang tuju mampir konten yg unnormal gni jg salah satu asupan hibur prinsip cara orang beda buat ngibur viewers nya mungkin seperti gnilah cara si erick buat ngibur kamu
179,lim kamu kalau ngomong nyelon baru bagus,lim kamu kalau ngomong nyelon baru bagus
180,aku mah subscribe kamu cuma buat nonton video kamu doang,aku mah subscribe kamu cuma buat nonton video kamu doang
181,lanjut aja buat konten unfaedah gua neng kok lihat v,lanjut aja buat konten unfaedah gua neng kok lihat v
182,chanel motivasi keluarga,chanel motivasi keluarga
183,mantap kali bang,mantap kali bang
184,awokwo tai kucing manis d,awokwo kotoran kucing manis d
185,keren hahha keren wow,keren hahha keren wow
186,yang bilang g mutu bokep youtube aja dan laris kamu diem aja,yang bilang g mutu film dewasa youtube aja dan laris kamu diem aja
187,wkwkwkw anjg tertawa w ma komenan haters nya,wkwkwkw anjg tertawa w ma komenan haters nya
188,ajg fans yg tunda apa ajg najis,ajg fans yg tunda apa ajg kotor
189,chanel peler sayang yuhuuu erkontolim,chanel peler sayang yuhuuu erkontolim
190,aku suka kontes kamu gara lucu rik santai aja yg haters pd bocah ngentod smua,aku suka kontes kamu gara lucu rik santai aja yg haters pd bocah ngentod smua
191,eh erikontol video kamu keren cuk ntai aja yg haters pd bocah ngentod smua,eh erikontol video kamu keren cuk ntai aja yg haters pd bocah ngentod smua
192,tertawa mulu aku kali liat video aja yg haters pd bocah ngentod smua,tertawa mulu aku kali liat video aja yg haters pd bocah ngentod smua
193,bener bang elu elu udah has sama omong jorok kamu bocah ngentod smua,bener bang elu elu udah has sama omong jorok kamu bocah ngentod smua
194,keren bang,keren bang
195,asal kalian tau banyak youtuber temennya erick bilang kalau erick asli baik,asal kalian tau banyak youtuber temennya erick bilang kalau erick asli baik
196,biasa normy otak dangkal akowkowkwow,biasa normy otak dangkal akowkowkwow
197,kalau suka usah nonton mudah anj nggg,kalau suka usah nonton mudah anj nggg
198,mautaunamasaya cariajasendiri gua peduli ama biarin aja kominfo tau youtube blokir lama lama bnyk yg laporin kontol,mautaunamasaya cariajasendiri gua peduli ama biarin aja kominfo tau youtube blokir lama lama bnyk yg laporin alat kelamin pria
199,cuma hibur kontol kamu suka usah mampir kesini goblok save erikontolim,cuma hibur alat kelamin pria kamu suka usah mampir kesini tidak pengertian save erikontolim
200,mantap bang gua suka gaya luu tetep stay cool aja bangni goblok save erikontolim,mantap bang gua suka gaya luu tetep stay cool aja bangni tidak pengertian save erikontolim
201,that s why i subscribe you rick,that s why i subscribe you rick
202,aku dukung kamu kok bang sans ajh ngadepin haters stres mereka,aku dukung kamu kok bang sans ajh ngadepin haters stres mereka
203,banting semua haters bang h ngadepin haters stres mereka,banting semua haters bang h ngadepin haters stres mereka
204,gua tuju kamu ganteng,gua tuju kamu ganteng
205,bang erik cuma mau bikin kamu asik gituuu goblok kamu hatters,bang erik cuma mau bikin kamu asik gituuu tidak pengertian kamu hatters
206,gua dukung luh rik terus karya yg bisa,gua dukung luh rik terus karya yg bisa
207,bang unbox iron man mark bang,bang unbox iron man mark bang
208,haters pasti nonton video,haters pasti nonton video
209,bagi akir video aku tuju aku subscribe channel kamu kamu main franco saing skill hook sama wolf xotik,bagi akir video aku tuju aku subscribe channel kamu kamu main franco saing skill hook sama wolf xotik
210,bang colab sama corygore aku subscribe channel kamu kamu main franco saing skill hook sama wolf xotik,bang colab sama corygore aku subscribe channel kamu kamu main franco saing skill hook sama wolf xotik
211,y,y
212,cinta kont l mu nonton kim tiap hari,cinta kont l mu nonton kim tiap hari
213,mantap l mu nonton kim tiap hari,mantap l mu nonton kim tiap hari
214,bacot buncit,banyak bicara buncit
215,wkwkwk,wkwkwk
216,aku dukung kamu rick,aku dukung kamu rick
217,inti kamu sampah ngera anjing kamu kontol,inti kamu limbah ngera hewan ternak kamu alat kelamin pria
218,aku cuma mo ngomong,aku cuma mo ngomong
219,memek ngilu anjing,alat kelamin wanita ngilu hewan ternak
220,gua suka sama kamu kamu ngeres gua haha suka bilang memek kontol bagai,gua suka sama kamu kamu ngeres gua haha suka bilang alat kelamin wanita alat kelamin pria bagai
221,mantapu kamu ngeres gua haha suka bilang memek kontol bagai,mantapu kamu ngeres gua haha suka bilang alat kelamin wanita alat kelamin pria bagai
222,bang sensor yg jorok nya donkkkkk,bang sensor yg jorok nya donkkkkk
223,taek haters,taek haters
224,bang masukin komenan gua you tube kamu wkwkwk,bang masukin komenan gua you tube kamu wkwkwk
225,heeh cing sabar w,heeh cing sabar w
226,ributin yuu haters rick ajak ketemu kicep haters jaman sekarang lemah,ributin yuu haters rick ajak ketemu kicep haters jaman sekarang lemah
227,bang muka kamu ganteng gua ajak ketemu kicep haters jaman sekarang lemah,bang muka kamu ganteng gua ajak ketemu kicep haters jaman sekarang lemah
228,lebih lucu hate komen ketimbang kinten kamu rick,lebih lucu hate komen ketimbang kinten kamu rick
229,konten kamu ngikutin filthyfrank anjing,konten kamu ngikutin filthyfrank hewan ternak
230,ngomong coment kalau mau ngomong depa jadi haters harus berani masa ngomong dicoment,ngomong coment kalau mau ngomong depa jadi haters harus berani masa ngomong dicoment
231,suka banget,suka banget
232,lcu,lcu
233,bener lah buat video didik yg nonton pada bawah umur anak kecil kids kodomo you know,bener lah buat video didik yg nonton pada bawah umur anak kecil kids kodomo you know
234,comment hatter buat lebih baik kapan,comment hatter buat lebih baik kapan
235,erick kontol gua jadi subscribe kamu gara gara video gila ngentot kali makan jembut pacar kamu njing,erick alat kelamin pria gua jadi subscribe kamu gara gara video tidak waras berhubungan intim kali makan rambut kemaluan pacar kamu njing
236,anjingg erick gila pro sekali bikin org tertawa,anjingg erick tidak waras pro sekali bikin org tertawa
237,be patient bb,be patient bb
238,hii kim hime,hii kim hime
239,tidak hina kamu ka ngomong nya aja jaga kin kali makan jembut pacar kamu njing,tidak rendah kamu ka ngomong nya aja jaga kin kali makan rambut kemaluan pacar kamu njing
240,eriko my inspirasi gokiltapi ngomong nya aja jaga kin kali makan jembut pacar kamu njing,eriko my inspirasi gokiltapi ngomong nya aja jaga kin kali makan rambut kemaluan pacar kamu njing
241,hatersnya mulut pedis yg sabar yaa terus semangat beryoutube jembut pacar kamu njing,hatersnya mulut pedis yg sabar yaa terus semangat beryoutube rambut kemaluan pacar kamu njing
242,channel gaguna,channel gaguna
243,bau gore wkwk,bau gore wkwk
244,jangan makan omong orang bang tetep karya bang walaupun konteng kamu toxic situ aku ketawa tertawa aku kesel aku buka channel kamu langsung ketawa tertawa gara toxic kamu bang,jangan makan omong orang bang tetep karya bang walaupun konteng kamu toxic situ aku ketawa tertawa aku kesel aku buka channel kamu langsung ketawa tertawa gara toxic kamu bang
245,chenel kamu gkada manfaat kontol,chenel kamu gkada manfaat alat kelamin pria
246,aku hatters yg komen terus tiap video kok bacain di video,aku hatters yg komen terus tiap video kok bacain di video
247,sabar njink,sabar njink
248,mending ngopi,mending ngopi
249,kadal gencet,kadal gencet
250,apa cuma gua yg sini kalok nontn chanelnya eric pakek henset biar kedengeran org yg dekat gua wkwkk aku kesel aku buka channel kamu langsung ketawa tertawa gara toxic kamu bang,apa cuma gua yg sini kalok nontn chanelnya eric pakek henset biar kedengeran org yg dekat gua wkwkk aku kesel aku buka channel kamu langsung ketawa tertawa gara toxic kamu bang
251,gua udah subscribe bang gua soapking is the best,gua udah subscribe bang gua soapking is the best
252,eric kontol yeah i don t care about that but ha ha it s so funny biar kedengeran org yg dekat gua wkwkk aku kesel aku buka channel kamu langsung ketawa tertawa gara toxic kamu bang,eric alat kelamin pria yeah i don t care about that but ha ha it s so funny biar kedengeran org yg dekat gua wkwkk aku kesel aku buka channel kamu langsung ketawa tertawa gara toxic kamu bang
253,bang tobat yuk,bang tobat yuk
254,buat vidio b k p auto satu haters,buat vidio b k p auto satu haters
255,haters ngebuat vidio di haters sama teman nya haters,haters ngebuat vidio di haters sama teman nya haters
256,arap aja tato,arap aja tato
257,kalau suka jangan tonton anjing susah tolol emang netizen indonesia just for fun video bang erick ahhh kontol netizen indonesia jomblo abadi haters ericko,kalau suka jangan tonton hewan ternak susah tidak pengertian emang netizen indonesia just for fun video bang erick ahhh alat kelamin pria netizen indonesia jomblo abadi haters ericko
258,terus kreasi rick banyak hetersnya,terus kreasi rick banyak hetersnya
259,wkwkwk tertawa anjirrr,wkwkwk tertawa anjirrr
260,kamu bikin konten bokep gabakal haters bang,kamu bikin konten film dewasa gabakal haters bang
261,hmmmm bau mmq,hmmmm bau mmq
262,iye uya kuya,iye uya kuya
263,kirim diamod kak,kirim diamod kak
264,ericolim ky kontol matiin aj sek mak kamu,ericolim ky alat kelamin pria matiin aj sek mak kamu
265,erick kontol jembud,erick alat kelamin pria rambut kemaluan
266,gud,gud
267,gausah perduliin bang anji k mmng haterss fuck,gausah perduliin bang anji k mmng haterss fuck
268,fakta nya eric lebih gaul deket sama orang grup belah mana lebih deket sama orang nyata hilang temen wkwkwk fuck,fakta nya eric lebih gaul deket sama orang grup belah mana lebih deket sama orang nyata hilang temen wkwkwk fuck
269,hai erpan,hai erpan
270,gua baru sadar soapers para guna sabun hahahahahahahah coli terus sampe abis,gua baru sadar soapers para guna sabun hahahahahahahah coli terus sampe abis
271,video lama yg upload terus baru di upload anjirr,video lama yg upload terus baru di upload anjirr
272,coba bikin video kamu ngentot sama ody peler kamu kecil,coba bikin video kamu berhubungan intim sama ody peler kamu kecil
273,bang kapan sehat,bang kapan sehat
274,haters erico fuck fuck fuck,haters erico fuck fuck fuck
275,babi aer haters,hewan ternak aer haters
276,i love you jess no limit,i love you jess no limit
277,budek kuping aku ajg,pendengaran terbatas kuping aku ajg
278,ect ericontol,ect ericontol
279,kontol daki kamu urus woi,alat kelamin pria daki kamu urus woi
280,kontol daki kamu urus woi,alat kelamin pria daki kamu urus woi
281,jangan nilai orang luar aja tentu lebih baik dia,jangan nilai orang luar aja tentu lebih baik dia
282,erickontollim,erickontollim
283,jancokk wkwkwkg luar aja tentu lebih baik dia,jancokk wkwkwkg luar aja tentu lebih baik dia
284,udah kebal benci erickontoruuuu,udah kebal benci erickontoruuuu
285,hatersnya lucu lucu gaje semua hahahahaha ohh iya kamu ganteng rick,hatersnya lucu lucu gaje semua hahahahaha ohh iya kamu ganteng rick
286,woiii haters sekali coba kalian jangan ngechat tidak baik,woiii haters sekali coba kalian jangan ngechat tidak baik
287,qw pngin beli baju shoapking a lel gmna cra beli a lel,qw pngin beli baju shoapking a lel gmna cra beli a lel
288,tertawa bangsat,tertawa tidak bermoral
289,hahaahahangakak gua jing good vid cra beli a lel,hahaahahangakak gua jing good vid cra beli a lel
