,Stemmed_Comments,Fixed_Comments
2453,sabar bro mangkin banyak haters makin banyak viewers haters nonton wkwkwkwk apa yg komen ngebuli nonton lh nama nya rezeki banyak haters banyak rezeki itu bikin semangat bukti mereka klw lebih baik parah haters sipz,sabar bro mangkin banyak haters makin banyak viewers haters nonton wkwkwkwk apa yg komen ngebuli nonton lh nama nya rezeki banyak haters banyak rezeki itu bikin semangat bukti mereka klw lebih baik parah haters sipz
2454,bang aku tau kamu bahasa sopan ngapa di pake,bang aku tau kamu bahasa sopan ngapa di pake
2455,lanjut bakat mu anak muda,lanjut bakat mu anak muda
2456,hatres kontol anjing makanya suruh emak kamu kalau ngewek jangan dapur biar ke campur micin manik bapak kamu anjing entot,hatres alat kelamin pria hewan ternak makanya suruh emak kamu kalau ngewek jangan dapur biar ke campur micin manik bapak kamu hewan ternak entot
2457,ush ngomong kalau youtube didik kalau kamu pas polos nya nonton bokep youtube,ush ngomong kalau youtube didik kalau kamu pas polos nya nonton film dewasa youtube
2458,rick rando undang rewind rick,rick rando undang rewind rick
2459,tertawa teroddddd wkaowkaowkaowk,tertawa teroddddd wkaowkaowkaowk
2460,iya bangg aku suka banget sma konten kamu aku suka,iya bangg aku suka banget sma konten kamu aku suka
2461,bang baca elu buat channel lucu kadang hibur kali garing aku slalu tonton bang iklan kagak aku skip sukses terus lah kapan kapan ngadain seperti give away gitu lah yaw,bang baca elu buat channel lucu kadang hibur kali garing aku slalu tonton bang iklan kagak aku skip sukses terus lah kapan kapan ngadain seperti give away gitu lah yaw
2462,keep up the good work bang gaussh peduliin apa kata haters penting kamu dapet adsense iya kagak,keep up the good work bang gaussh peduliin apa kata haters penting kamu dapet adsense iya kagak
2463,gua janji subscribe channel tidak usah like like soal nya bayar subscribe gratis,gua janji subscribe channel tidak usah like like soal nya bayar subscribe gratis
2464,wadaw wadidaw mayan ajar vidio adalah jangan dengerin omong haters,wadaw wadidaw mayan ajar vidio adalah jangan dengerin omong haters
2465,tattoo senikalo suka tattoo yg usah bilang sampah kontol jangan mandang org tattooan yg negative lah anyingn kagak aku skip sukses terus lah kapan kapan ngadain give away gitu lah yaw,tattoo senikalo suka tattoo yg usah bilang limbah alat kelamin pria jangan mandang org tattooan yg negative lah anyingn kagak aku skip sukses terus lah kapan kapan ngadain give away gitu lah yaw
2466,abang erick pacarn sama kim jawab bang from fans,abang erick pacarn sama kim jawab bang from fans
2467,baca komen denger triak hantu edit kamu awto lempar hp,baca komen denger triak hantu edit kamu awto lempar hp
2468,jujur ni chanel hibur aku lagi bosan,jujur ni chanel hibur aku lagi bosan
