likeCount,Comments,Author
0.0,njir intro nya,Adrian Syahmariz
0.0,anjing gw paling benci kalo nonton lu gaada iklannya,Mikelicke
0.0,lu tuh gantenggg,Agnes Pratama
1.0,bang toxic atau bacot di ome tv dong bang yg stuju like,Eldo pesegh
0.0,fans from malaysiat di ome tv dong bang yg stuju like,Zx mino
0.0,buat hatters udh unsub ngehina ttep aja nontonin video orng ni gk malu apa lo,RegXarc
0.0,gak rick tenang gw bukan hatters lu kok,Wishnu Darmawan
0.0,youtube buat entertaining anjing kalau mau mendidik ikut les bimbel bangsat goblok yah,Een Flow
1.0,channel lu bng bagus untuk hilangin stress v,Luthfi ART
0.0,walaupun ada yg gk suka tetapi tetep di subscribe,Ilham Muhamad
0.0,erick mirip pemain bola adam alis di bhayangkara fc,Sandi Ripa
0.0,njir uting,
,,
0.0,binasakan para haters,Zuliangga Hidayat
0.0,heran ama yg comment buruk ngapain nonton klo ga suka,June Alya Anantha
0.0,hetters lu kebanyakan kaum pantad tipid mudah kebakaran pantad nya upgrade dulu makanya kalo mau nonton ini,Rasel Juliano
0.0,i love toxic,Faturrahman Rizqi
0.0,nih cenel bikin gua terhibur ad tipid mudah kebakaran pantad nya upgrade dulu makanya kalo mau nonton ini,Depan Belakang
0.0,erickontolik muka lu kayak jembut jadi berkaca anjing dasar goblok,Ahmad Chemical
0.0,kasian gws,Priya Riza
0.0,bang bisa matiin ads cent lu nggak,Fikri Anwar
2.0,gw kangen intro erick yg dulu dan akhirnya di pake lagi good lah,Muhammad Tawab
1.0,kapan maen pb lagi,6 TUBE ID
0.0,ngegas,Stefanney Andersen
0.0,gw subscribe permanen bang karena channel pendidikan hehehe,LSR INDO
0.0,gooooo soapers,Prayoga .p
3.0,bener lu rik jangan di denger in tu heatres ajing kontol,komangagus
0.0,dasar haters otak tai babi,Dhafin Craft 321
0.0,bangg mohon di bca ,
,,
0.0,eh erikontol bagi duit njinx,Muhammad Alief
0.0,ngakak so hard pepek ampe ngilu hahahahaha,Diaz Hangdani Harahap
0.0,bang konten makan jembut lagi bang please,Cavendish CVD
0.0,gak ada yg nyuruh lu nonton ajg kalo emang gak mendidik gausah nonton dasar haters gblk erick itu obat buat ngilangin stres pasti ngakak liat muka konyol si erick,Aldo Yepe
0.0,inilah bunda efek daki selangkangan disuruh bikin channel youtube,Said Farza
0.0,bct lu kontol dasar orang anjing jujur gw suka lagunya tapi lagunya menghina orng konttooolllll babi,Andhika Gaming
0.0,gw sukaaa sama konten luuuuu karena menghibur ya mau lu toxic atau melakukan sesuatu yg unfaeda itu menghibur bangt karena lu tampil beda di luar negeri banyak kok yg buat konten unfaeda lu satu nya orng indo yg beda hahaha but i like that ,
,,
0.0,senyumin aja bang rick saya fans berat loe,akbar hikam
1.0,dasar sampah lu erickontol,Ybdasrul TV
0.0,woy kintol memax injang bangsit jav hd porn masukin gw v,fabian Septiawan
0.0,gue tetep dukung lo ther jgn dengerin omngan yg ga enakin mungkin dia begitu karna dia cuma tau dari video sifat lu smbng petakilan bgtu tapi dia gatau keseharian lu dan hati lu kaya gmna jadi no komen bang,alfiansyahkirun 1928
0.0,tau gk rasanya dibuly makanya jg buli orang anjink,ItsIcy
0.0,ngangkang eh ngakak wkwkwkwk,ItsIcy
0.0,good morning ,
,,
0.0,satu kalimat ,
,,
0.0,bagi aku nih channel bikin mood coli aku kembali bergairah,PL4Y 70 W1N
0.0,kalo suka ya syukur kalo ngga ya gapapa sesimple itu anjing,Relavi Ahmad Yusuf
0.0,lu jelek kntlllll ,
,,
0.0,klo gasuka ga usah nonton kentodd hatters gblk,Firdaus. Filly Filly
0.0,loveyouuuuuuuuu bang kontol,Yasin GONDRONG
1.0,part kontol,Rino Yudhantara
0.0,s i g o b l o k,tiyoo sadewo
0.0,bangsat chanel gila anjing  naik terus ban toxic lu gkin dia begitu karna dia cuma tau dari video sifat lu smbng petakilan bgtu tapi dia gatau keseharian lu dan hati lu kaya gmna jadi no komen bang,Limit Gaming
0.0,lucu,Dia Widi
0.0,ngakak sumpah nntn nya anjing,syamil 323
0.0,gini ni klo lahir dari lubang pantat bukan dari lubang memek,Player NooB
0.0,kontol,Irescha Maranda Putra
0.0,wkwkwk kami gilaaaa dan kami sukaaa channel pendidikann,Apri xD
0.0,iklan ga gw skipp bngst cuma buat nambahin lo buat yt rewind ,
,,
0.0,terkenal gara ngomong bangsat sama anjing hahaha lyric nya cocok buat lo ericko fucking lemu dari video sifat lu smbng petakilan bgtu tapi dia gatau keseharian lu dan hati lu kaya gmna jadi no komen bang,Sefitrq Cahyo
30.0,gua setuju anjink,
,,
,,
0.0,editan video ne bagusan anak esdeh ngedit tiktok,the Player
0.0,intro bacot nya mana  anak esdeh ngedit tiktok,Azir Wanto
0.0,ngomong apa lu om,the Player
0.0,itu udah ciri khas erick,Aliq Ramadhan
0.0,bang klo dah jt donasiin ya,Rifal l
0.0,ngakak anying,Chandrapermanaputra
0.0,bangke lu,si herp
0.0,hahahaha,Daud Djaratari
0.0,gua lebih suka lu yg kya gitu bang diemin aja kata haters mah emang haters kontol idiot sampah,Kiki Bkd
0.0,bang ini yutub jangan lah kata kasar kalo anak keci yang liat dimarahi ibunya ya lu anjing erikontol ga jelas anjjing pegang pegang pentil njing emang ga ada otak ngapain buat chanell ga ada manfaatnya,M Fadlu
1.0,bang kapan kentot sama kimmy him him,Mr . Bhalux
0.0,gpp bang yg pnting jgn sampe membawa ras suku dan agama takutnya yg ga di inginkan kejadian,Yt Crash
0.0,slowo wolow solowp poloso,arga Vlog and gaming
0.0,bacaa bang erikontol,HIZKIA TV
0.0,wkwk kalo baik ya bukan haters kali wkwk u dan agama takutnya yg ga di inginkan kejadian,Achmad Saifudin
0.0,justru orang bangke kaya gini harus di lestarikan di kembang biakan di lindungi dsb ,
,,
,,
1.0,rambut ga keramas brapa abad ,
,,
,,
,,
,,
,,
,,
0.0,patner di depan jahat tapi hati nya baik menolong anak yatim piatu pokoknya the best rick cheers ang wkwk,Sehkal derajat
0.0,genjutsu ,
,,
,,
,,
,,
3.0,sans rik gw terinpirasi banget abis nonton vidio lu   im piatu pokoknya the best rick cheers ang wkwk,Wahid Inayah
0.0,kontol ngentod gua ngakak lebih toxic lgi dong,DEDEM GEMERS
0.0,ngakak bet ,
,,
0.0,kok ada qorygore itu kan presiden gua,Iqbal Alfian
0.0,channel anjing gk ad faedah nya sama sekali tapi entah knp gw sabskrep,Dino Ajjaddahh
0.0,haters goblok kontol mikir lah bro eric mana mungkin beli subsciber mikir lah dia tuh udah terkenal kali dasar goblok kocak haters anjg yg lebih extrim dong,Iqbal Alfian
0.0,kalau lo direndahin berusaha untuk tinggi taik,Dita Kartika
0.0,ini gua nontonin biar lu dapet duit buat urus youtube rewind yak bang pokoknya bikin yg bener semangat buat bang erik dan teammmmmm yoyoyo,Siti Sharah Sacakusumah
0.0,yang baca anak anjing,Syahrul Ojicecep
275.0,haters adsense dollar,Rexz Gaming
0.0,azam kazama klo ndk suka komen gue jgn bca mati jak sna,Fahri Dwiharya
0.0,azam kazama ada yg salah,Fahri Dwiharya
0.0,yutup kan ada filternya kan yaaaa kalau mau liat yg berfaedah ya jgn liat disini sama komen disini kan ada porsinya sendiri sendiri,Azam Kazama
0.0,woi kontol,Puti nadhira azali a
0.0,wkwkwk saveg,Stella Stella
0.0,dan ternyata gada yg bisa ditiru alau mau liat yg berfaedah ya jgn liat disini sama komen disini kan ada porsinya sendiri sendiri,mr full
0.0,ngarep,Adimas Nugraha
0.0,ngarep banget kontol,RYM Gaming
0.0,baca jeng ,
,,
0.0,bukan dollar rupiah,John Stanley
0.0,ian achmaddi iya betil kamu bijaksanal,Darel Davin
0.0,kenapa sih kalian ngejek ericko ericko engga bunuh kalian menampar kalian mengejek kalian sebesar besarnya coba dipikir kalau kalian kaya gitu sedihkan kaya ericko ku lihat pas terakhir mau sedih,Darel Davin
0.0,rafi irwansyah bocah menkreppppp,Racist Boi
0.0,mantap mamang,izuna gacha
0.0,jadi gini tiap channel itu punya penonton nya masing masing ,
,,
0.0,erickontol limit,Arya Maulana
0.0,gw tantang lo colab sama rando berani gak,PREMAN PRODUCTION
0.0,mungkin orang normal kalau ditegur auto mikir kalau orang ini ditegur auto membalikkan fakta,Ryan Day
0.0, haters normal kalau ditegur auto mikir kalau orang ini ditegur auto membalikkan fakta,Joko Wardhana
0.0,saya pembenci bos baca komen saya fake,Siapa Nama
0.0,asal muasal haters adalah iblis,Badrus Salam
0.0,kan hatters otaknya gada,Wahyu Eka
0.0,low quality content and,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0.0,gasuka kok ditonton haha emang bener bang haters itu fans yg tertunda,Yusril Esa
0.0,opening legend is back wkwkkw,DroidRTR Official Gaming
0.0,sebenarnya channel ini sangat mendidik gua,
,,
,,
,,
,,
,,
,,
0.0,guy,DodoySweet258
0.0,gk gitu anjing wkwk chanel kontol majuterusrik,Lary Kuning
0.0,bang main getting over it dong,kadotafuto
0.0,hatters pokoknya kudu nonton anjing,Billa Chan
0.0,dwp avaan bang,Agung Skyzzhi
0.0,iya bang lu ganteng onton anjing,Putri Abrilia
0.0,anjiingg gw fans berat ama lu bg eric moga lancar trus y ganbatte,Hunter Lover's
0.0,kangen bgt dah ama intro yang ini c moga lancar trus y ganbatte,Risma Annisa
0.0,erickontol lim alay lo ajig v,Narcy Sanjay
0.0,muka lu jelek anjinx mana sini pacar lu oe eue,NET PROJECT
0.0,sumpah lu doang yg bisa bikin gua ketawa ngakak anjirrr bikin video yg banyak lagi bang,Agustian DC
0.0,hmmmmm buat bang erik terus lah berkarya dan karena masa muda buat berkarya dan mencari pengahasilan sendiri jangan dengerin tuh kata si cebong ,
,,
,,
,,
,,
0.0,ngakak ajg v sering kek gitu tod,Taufik Kurnia
0.0,si anjeng gue suka gaya lu erik v,Rahma Vilo
0.0,haters goblok lu klo ngomong yang masuk akal anjink gk dilajarin apa sma orang tua lo karena gw baca gk ada yang masuk akal dan gk ada guna juga,Muhammad Rafli
0.0,openingnya beda ajg v,Taufik Kurnia
0.0,kenapa mem k bisa ngilu yalord ngakakk wkkek,D4N13L TM
0.0,bang bli subscribe dimana v,Hends Game
1.0,bau memek,M Wildan G
0.0,wkwk mantap rik disini kita bisa liat mana viewer bodoh sama yang cerdas,
,,
0.0,panutanku yours my capten,Muhammad Wahyudin
0.0,yg nonton ni video ,
,,
,,
,,
,,
,,
,,
,,
0.0,v,Muhammad Raihan
0.0,eh ericontole kata bapa gua kaga boleh ngmng jorok ajggg,Ateng Seto
0.0,gua sayang lu bang soapkingaga boleh ngmng jorok ajggg,Aji Ramadhan
0.0,bacot anjing ewe ibu lu di acara yutub lu anjing,Sri Wahyuni
0.0,sunat duls baru gans,Sidik Hermawan
0.0,rik tau joji gak the real of pink guy,Lutfi Anwar
0.0,lo keren rick mantap,Adammarsha 007
0.0,ngomen negative doang tapi bikin vidio kayak gtu gk bisa gk ush komen harusnya,HerobrineBro Channel
0.0,ngakak online,Grisa Nadhila
0.0,bodo amat gua ngak ngurus,Alfin Trk
0.0,bau memek,resta channel
0.0,kalo di banding arap ya gantengan lo rik,The Bastardo
0.0,kontol,Fadil 1989
0.0,kontol,Fadil 1989
1.0,ericko duet sama bowo setuju like kowko,Emil Gunawan
0.0,yang penting kocak,Iqbal wtmrk
0.0,namanya aja hater wkwk,halim muhammad halim
0.0,ngakak kontol,Gre Gori
0.0,bang buat konten ngentot donk,Shadow Fly
0.0,nge pansos,YT - LANGGA
0.0,ngehate ,
,,
,,
2.0,chennel sampah baik hapus aja chennel lu,Hellen mah gaming
0.0,anti skip skip club,Yesyurun Lubis
0.0,ditunggu part nya bg ericko lim semangat bang,Joey
0.0,kalau gk jhat gk seru khntl nnti neraka sepi,zidhan alifian
1.0,hai sayang aku syang ody dehh,KSB
0.0,dislike,Heri jaya Dipta
0.0,plis lo yg ngehate kaga pernah liat channel yt kaya how to basic apa yak wkwk klo kaga suka ya kaga usah ditonton lo yg pilih trus apa gunanya bapak mak lo didik lo konten kaga harus selalu mendidik tp menghibur emg sinetron yg tiap hari lo tonton mendidik njink,Rizky Akbar
0.0,draw my life donk bang,Rhif Gaming
0.0,chanell penghilang stresss,Usman Kintamani
0.0,haters mah ga ada kerjaan makanya sirik v,radeychais
1.0,bang aku support abang setiap ada iklan aku nonton sampe abis,Azzel 2006
1.0,kata kak erico lim kita harus ngomong anjing bgst memek jembut tai kontol bener gk kak,Sens GAMING
0.0,haters lu otaknya setengah ngomong anjing bgst memek jembut tai kontol bener gk kak,Pangestu Satrio
0.0,love u ericko lim salam fans dari malaysia tak kesah apa haters kata u are my heroo,Ilvin Jok ladin
0.0,aa sayangku,Efri Reza
0.0,hey haters lu koment di vidio org terus koment nya pgn dia jadi tambah baik tapi lo sendiri koment nya ngegas negatif apa mau lu sih gblok haters,Sifat baik
0.0,ini tuh channel yang unik o org terus koment nya pgn dia jadi tambah baik tapi lo sendiri koment nya ngegas negatif apa mau lu sih gblok haters,Calvin Claudius
0.0,akua ganteng,Oppa MikBim
59.0,nenek setuju kamu cucuku yang paling tampan ,Granny
1.0,yang tdnya nge bully kok sekarang ngebela,Clmytx 21
1.0,sabar aja bang terserah mereka mau mencaci maki lu karena itu akan menjadi motivasi erick untuk bersabargas negatif apa mau lu sih gblok haters,komang prasetya
0.0,bau memek erserah mereka mau mencaci maki lu karena itu akan menjadi motivasi erick untuk bersabargas negatif apa mau lu sih gblok haters,Andri Suherman
0.0,bagus bagus tolol nya ada kemajuan,THX Anime
0.0,gw lebih suka lu yg dulu lu yg masih youtuber gaming,Ali za
4.0,gw ikut ngehate ah supaya masuk you tube,
,,
,,
,,
0.0,kata lu banyak herters malah bikin kaya wkwkwkkwkwkw erickontolim,Eko Denis
0.0,sabar kak tuhan akan memberi kamu jalan keluar,Verelio Jevon Pribadi
0.0,ngakak gw liat ni video bang terus berkarya,Pearlyan_ 511
0.0,bait si laurentius randog dong ,
,,
,,
0.0,kalau pada banyak yang gak suka ericko lim ngapain pada lihat chanel nya gak usah dilihat chanelnya ,
,,
,,
,,
0.0,w suka gaya lu bg i love soapking,Dicky Arema
0.0,gk ush dipikirin omongan hatersya yg nyakitin hati tu bang yg penting toxic lu  ilihat chanelnya ,
,,
,,
,,
0.0,konyol tapi menghibur sukses terus bang erik,Muhtar Al Mashury
0.0,jadi kalian tobat lah yang haters sebelum telambat,GTVIDIA 25
0.0,korban pun merasa sangat malu namun tak mampu membela diri mereka hanya bisa diam menangis bahkan sejumlah kasus sampai bunuh diri karena frustasi ,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0.0,makanya kalo lagi hamil jangan di entot teros tar kepala kena kontol jadi lah anak tolol,KYU SQUAD
0.0,nonton aja susahnya dimana coba,Arsyanda Yanda
0.0,bacot lu pada,Arsyanda Yanda
0.0,lol,Thoriq Togkk!!
0.0,chenel hiburan penghilang stres mobangentot tapi lucu,XxxPro GameRz
0.0,ini knp gue subs lu bang ngomong lo di kamera emng kek gini tapi gue denger dari kopex lo baik bet orang nya,
,,
,,
,,
,,
0.0,haters gak tau entertein,SouNime Crack
0.0,gw suka kata kata terakhirnya maera emng kek gini tapi gue denger dari kopex lo baik bet orang nya,
,,
,,
,,
,,
0.0,channel paling gila paling aneh paling lucu paling gk guna paling ngawur v i kopex lo baik bet orang nya,
,,
,,
,,
,,
0.0,bocil,Redemptus Ccw
0.0,ini channel cuman bisa nonton ama komen doang hhhhhhh,Sens GAMING
0.0,sens gaming udah tau kata kotor,
,,
0.0,erlangga saputra kemarin,DipaB
0.0,kapan lu mati nek,Erlangga Saputra
0.0,wow lu gk laku lagi wkwkwk,izuna gacha
0.0,nenek ini cucumu nek,zero two chan
0.0,oya bang inget aja hal bukanya gua nasehatin tapi cuma ngasi tau ,
,,
,,
,,
,,
0.0,bang gua nntonnya iklan mlu bngst wkwkw,Andhikafp 19
0.0,ric lo gak takut ngomong kontol mulu entar tu jidat tumbuh kontol baru tau rasa lo terus tu jidad belah jadi pepek ,
,,
1.0,hahahahahah malah ketawaol mulu entar tu jidat tumbuh kontol baru tau rasa lo terus tu jidad belah jadi pepek ,
,,
0.0,like yang setuju erickolim jomblo,Endang 790
0.0,bang lu ganteng tpi gak sexy  entar tu jidat tumbuh kontol baru tau rasa lo terus tu jidad belah jadi pepek ,
,,
109.0,sebenarnya ane haters yang kagak komen karna takut di bacotin v saya unsub karna terlalu toxic atau berbahasa terlalu kasar tapi saya sering nonton video ente tanpa subscribe,sprigtrap
0.0,gw pura pura ngehate yak erikontol kamu bacot memek kamu udah gk perjaka lagi,Yansin_ruh
0.0,yg bikin video di yg punya chanel dia kok kalian marah si,Harun Yahya
0.0,gw nonton ini kok ada iklan bola ya,Ryanosh
0.0,karna ericko gw toxic haha,Mr. Kuro
0.0,yang sopam dikit tapi lucu lah hahaha yg buat masker dong,Harun Yahya
0.0,aku suka banget konyol nya gitu,Harun Yahya
0.0,apa cuma gua yang mikir kalo ni youtuber youtuber paling ga tau diri ,
,,
,,
0.0,orang orang yang ngehate bang ericko lim gobloknya sampai ke jiwa,Metzger03
0.0,channel kesayangan obat stres semoga makin sukses bang,Arga Rj
0.0,ok anjing retard,Happi boi
0.0,gua bersama erick,Syeihan Ahmad
0.0,terus berkarya bang ericko yang ganteng suport abang ericko,Keisha syahla
0.0,dia punya channel ikut suka dialah mau gimana yg penting menghibur pas stress,DON GAMING
0.0,yg hate lo iq nya di atas rik h mau gimana yg penting menghibur pas stress,Muhammad Fajar
0.0,si kontol ada eling nya juga lu bagusan gitu kontol fuck bichs stress,Arya Wiratanudatar
0.0,ngakak bngsd v,IKHSAN AM
0.0,terusbekaryabgjangandengerinkatahaterskontol,Radif 2018
0.0,yeh ads ganggu cok but ya aprove lah gue buat lu hehe lord toxic is back btw itu yang komen pertama itumah anak vexana v,Sigit Prayoga
32.0,di ambil hikmahnya stiap orang punya tujuan tentang isi vidionya hanya orang trtentu yg ngerti,DENA TV
0.0,hhmmmm dari video ini kita bisa belajar ternyata komen di nyucub eri coli me hate comen ,papah drama
0.0,haters adalah fans yang tertunda ,
,,
0.0,we komen berharap di kasi roti isi jembot,NoCopyright Lyrics
0.0,wkwkwk sabar bang tapi lucu,moba noob
0.0,untung pantat lo tebel bang,Cereal Plays
0.0,anti skip skip cuk,LavaTM
0.0,suka aja konten nya bang eriko lim karena kontennya sangat menghibur gue,CHANNEL *KEVIN*
0.0,bahasa nya kaya qorygore,asep wahyudin
0.0,erick gua fans lo wkwkwkwk,ikbal saeful hidayat
0.0,gua udah subs terus di suruh subs lagi,Ramadhani Muhammad
0.0,mantul kak lim w support lu bang konten sangat bermutu ku terhibur bet kak wkwkwk coba buat konten pembuatan pisang nugget donat indomie pasti keren kak lim ekekwk,Zulfan Cogan
0.0,gw suka channel lo bang lu bikin gw hilang stress doank kerna channel lo itu bagi gw menghiburkan iya udah pasti semua channel pada ada haters doank jdi sabar ajalah bang btw keep it up bang erick,Bro Gaming
0.0,erikontol,yo wibowo
0.0,demen nih yang hate comment tololnya murni pemberian dari tuhan wkwk this channel bring us happiness right btw if this channel give us negative thing we can decline it right just for fun,aulialdy _
1.0,gua mau masuk yutub anjg lo,LobosG 21
0.0,oiii eriko kenapa haters lo kebanyakan bocah sih,Runaki RUN!
1.0,i love you erickolim channel penghilang stress,Islam Asia
1.0,ayo pada unsuscribe,Seto Mulyadi
0.0,nyet bikin give away mobil dong,FlowSky Woww
11.0,gua kangen intro alan suryajana,LobosG 21
0.0,ericomenntro alan suryajana,bagos bagosng
0.0,cukup tolol cukup wkwkwk,Joe Ari
0.0,hatersnya bocah semua anjeng ,Ndrak Qu
0.0,itu perut apa celengan babi bangsat,Jonjon Jony
0.0,wik wik wik wik wik wik wik,Yusril ID
1.0,gua selalu support lu kok lim perkenalkan nama gua ivan novikov gua dari gedung putih ,
,,
0.0,sabar bang erick,m rasya
0.0,udah dari pada pusing mikrin haters yuk colay bareng kuy aku punya hentai banyak tinggal pilih ada loli juga,jeruk apel
0.0,channel keagamaan paling family friendly di duniaaaa,anton kimiyoshi2
0.0,gini aja dah lu mikir lah apakah dengan dia ngomong kasar lo merasa merugi apa sih rugi lu apakah itu membuat lu menderita sangatttt yaelah dia emang gini chanelnya dan gw terhibur dengan kata kotornya if you dislike what he doing just dont look it dumbass kalo gk ngerti cari dah di google translete wahai orang mantab,PRIDE sins of lion
0.0,hahahaha komenan pertama aja dah kaya gitu haters gonna hate sa merugi apa sih rugi lu apakah itu membuat lu menderita sangatttt yaelah dia emang gini chanelnya dan gw terhibur dengan kata kotornya if you dislike what he doing just dont look it dumbass kalo gk ngerti cari dah di google translete wahai orang mantab,Fajar Najar
0.0,haters kontol kalo gak suka erickolim gak usah di tonton,Kilfi Gaming
0.0,gw percaya lu itu adalah salah satu contoh dari internet personality,Radith
0.0,konten lu asik bang karna konten lu toxic abis tanpa bawa bawa saraa,Hazmi Qstlni
0.0,subscriber kok g nambah,Aji Saka
0.0,ssshhhh bau memek,
,,
,,
0.0,iklannya kebanyakan njing wkwk,Rizal Kevin
0.0,dasar kucing lo erick alat kelamin lelaki hewan berkaki empat yg suka mengonggong lu dasar piggy lu,Radith
0.0,wkwkwkw haters,Haqqin Hadadi Ibnu Bisgar
0.0,udah tatoan lagi emang erick olim kontol ngentot,Hilmi Keren
0.0,yang dulunya macam tai mulai jilat pantat gua di cintai,Ahoy Gaming
0.0,gua subs lo bqng,Dodit Muryanto
1.0,ericko lim kontol memek ngentot,Hilmi Keren
2.0,titit coly sih bang plis,nayla mudida
0.0,berharap bgt gua ekspresi lu waktu baca komen komennya ekspresinya antimainstream eh ternyata ekspresinya persis kyk videonya reza arap sedikit kecewa gua akspresilu masih mainstream bang perbaiki bang semangat kontoll,Dewa Hendra
0.0,bang kok iklannya kondom,pubg the best
0.0,seperti biasa a kondom,GA Playz
0.0,baru kali ini wkwkwkw biasanye max tumben v,Pemuda Kampung
0.0,hahahhaha lucu tu orang bang itu mah orang iri,Buyunk konco
0.0,gw dukung lo rik gw suka konten konten lu rik,Fahaz Fardani
0.0,kontol lu ric kapan bikin video ngentot ma pacar lu,Arif Oxlade
0.0,satu pihak bang n bikin video ngentot ma pacar lu,hatori gaming
0.0,semangat terus bangsatt gua tetep dukung luu presinya antimainstream eh ternyata ekspresinya persis kyk videonya reza arap sedikit kecewa gua akspresilu masih mainstream bang perbaiki bang semangat kontoll,Andrew Ravi Mahendra
0.0,ganteng rikkk sumpah  gua tetep dukung luu presinya antimainstream eh ternyata ekspresinya persis kyk videonya reza arap sedikit kecewa gua akspresilu masih mainstream bang perbaiki bang semangat kontoll,Dandimarta
0.0,semangat aja erickolim bagi w no erikcolim no life gue suport lu terus,Eixl GT
1.0,anggep aja bencong tanpa toket,Hafizs YRKI
1.0,pala gw ijo,fikih aneh
0.0,hmm bau memeks,ardikadimas 45
0.0,erick hatenya banyak tapi si erick bisa tahan,Ali Akbar
0.0,gw suka lu erickontol v,Letnan Kewer
1.0,punya akal sehat tapi gak bisa milih konten hadehh,
,,
1.0,gw kangen filty rick,Ahmad Rian
0.0,bang bikin challenge ng c k sambil liat foto jesnolimit,Diki Darmawan
0.0,nggak usah dipeduliin bang,Nabila Nabil
0.0,haters gak jelas anjenkkkkkkk,
,,
0.0,lanjutin aja bang,
,,
,,
,,
0.0,anjing tulis sambung ngentoooooooooooot,Timothy Varian
0.0,dimana mana laki laki itu ganteng,RIVALS MOBILE GAMING
1.0,nah gitu emosi,RANS gaming
0.0,barusan gua pencet tombol subscribenya kali loh,Kira San
0.0,gw sih suka suka aja sm channel ini meskipun toxic tpi menghibur gw haters bilang ini channel gk guna goblok banget kimak ,
,,
,,
0.0,katanya disuruh unsubscribe v,Ice Bear
0.0,jadi fans adalah hatters yang tertunda juga dong,Ziaf Inabbar
0.0,tetap semangat dan terus berkarya,Alpinn M
0.0,sprigtrap woi william ini gua michael anak lu anjing,ShiDarkNess
0.0,buat view gpp wkwk,izuna gacha
0.0,lah like dah si kontol ni,anime toon
0.0,bego ke dna,nur habiba
0.0,fiks ini orang dewasa,Yupi Yupi
0.0,njirrrr songong amat,Ardi Satria
0.0,ponakan si ocong yess,Putrawan Id
0.0,g nanya,Berak Gaming
0.0,weeeeeeeeoww,Enggar Nugroho
0.0,bcod kontoru yess,Mas Mules
0.0,erikkontol muka kayank sempak kontol anjingg,Bayu doclo
0.0,buat abg yg katanya si raja toxic aku pngen nnya kalo ank dibawah umur jg ngikutin tingkah laku nya abg kekmana menurut abg dan para soaper yg pnya akal sehat utk memfilter tlg dijawab,Pedero Wasto
0.0,intro legeds is motherfucking back,Charles.D
0.0,haters semuanya hmmmmmmmm,
,,
0.0,aku benci kamu v udah cukup haters belum,Baby Shark
0.0,gw suka konten lu kok,Raul Anderson
5.0,orang orang nge subs luh karena mau dengar kabar kalo luh delete channel bukan karena liat muka luh yg pasaran itu ngerti ga sih ngerti ga ngerti ga ngerti gak,HR. Holland Studio
0.0,goblok auto unsubcribe,Dony Roroa
1.0,ni nih channel yg buat reza oktovian delete channel kalo luh sakit hati karena di rendahkan oleh si reza karena saran luh untuk buat youtube rewind di tolak jangan di bawak perasaan sampe buat video no smile tapi si reza arap balas dengan buat lagu yg smile dn menghapus channel karena dia membuktikan kalo dia ga ngemis subs ga kayak luh pokony saya ga mau tau kamu harus bujuk reza biar dia bikin channel lagi kalo ga gw laporin channel luh yg ga seberapa ini masih banyak channel yg lebih besar dari channel luh contohny miawaug atau luh mau yg lebih besar lagi yaitu pewdiepie nope lu ngejek suara reza padahal suara luh tuh lebih parah okay luh seharusny di hapus dari dunia youtube dan channel luh udah full haters apa luh masih tahan hah si reza yg di channel ny ga ada haters aja dia nge delete channel gara luuh luh nyadar gak sih sadar oyyyyyyyyy manusia dajjal mending luh hapus aja channel luh huh dasar pengemis subs,HR. Holland Studio
0.0,bangsat ngakak bacain komen haters triiigereeeeddd,Dhafiaz
0.0,makan jembut dlu biar hater seneng,crock killer
0.0,kocak intro nya njirrr seneng,yazid s
6.0,mungkin ric yang dia bilang mem k ngilu palingan dia dulu emaknya pas ngelahirin dia makan ,
,,
0.0,wowkwowk makasih ama haters karna dah nge bantu buat konten u,
,,
,,
0.0,hahaha hatters goblok hahaha gak suka ni chanel gausah buka ini chanel bangsat haha,Rizky
0.0,rick gw akuin lu emang pintar orangnya gw tau kok di belakang lu orangnya kagak toxic tapi emang kyk anjing lu wkwkwk,sarush nah
1.0,kata kata inspirasi ,
,,
10.0,kenapa lu nyangkutin dewa gue,Risqy Agus
0.0,itu di sosmed aja bang yg berani ngehina lu tapi kalo ketemu minta foto v,Dea Fadila
0.0,ikutan bully ahhh biar masuk yucub,LangGI Gaming
2.0,walaupun ngomong nyh kya gitu tapi tetep ajh gw ngakak ajg muka cem kontl tapi bikin ngakak,Watardo Tunehpahdi
0.0,jt sub live ngntd,ATHENA 99
0.0,liat iklan sampe habis auto erik kaya auto sedekah auto dapet pahala,naufal hanief mafaza mafaza
0.0,youruber yg paling gw banggain v,Fikri Gaming Projeck
0.0,hidup adsense,RRENN Channel
0.0,erickolim beli subs terus yg king of youtube indonesia gmna broo,Supreme SX
0.0,abaikan saja haters haters kampang macam begini bang,Yosa Rastino
0.0,awkoawkontol ngakak gw bangsad v,rottre nyed
0.0,kalau lu nyari yang berfaedah kenapa gak buka channel yang berfaedah bngsti bikin ngakak,Audio aswaja
0.0,sadarrrr guys,Jovanka Jayadi
0.0,gw heran kenapa fans erik colim liat betah liat video dia muka macam biji karat juga,Jovanka Jayadi
2.0,kualitas suaranya beda banget v,Ganime
0.0,oke sudah di unsubscribe selamat saudara erickolim anda akan sulit mencapai jt subscriber pada tahun ini selamat menikmati,Daniel Septyadi
